stop_id,stop_code,stop_name,stop_lat,stop_lon,mode,mode_type,route_code,MUNI,HOOD,B_W_202505,B_S_202505,B_U_202505,R_W_202505
N13955,1306,CORNELL AVE AT OAKRIDGE RD,40.5108,-80.0456,BUS,BUS,13,"Ross township (Allegheny, PA)",,0.43,0,0,0.05
N14295,19753,CORNELL AVE AT SPRUCE VALLEY DR,40.5108,-80.0455,BUS,BUS,13,"Ross township (Allegheny, PA)",,0.05,0.2,0,0.05
N14255,1015,CENTER AVE AT WAVERLY AVE,40.5175,-80.0356,BUS,BUS,13,"West View borough (Allegheny, PA)",,2.05,5.4,0.2,0.05
N13730,1016,CENTER AVE AT CHALFONTE AVE,40.5202,-80.0379,BUS,BUS,13,"West View borough (Allegheny, PA)",,1.81,0.8,0.2,0.1
N13040,1938,CALIFORNIA AVE OPP ST JOHN'S CHURCH,40.4679,-80.0353,BUS,BUS,13,"Pittsburgh city (Allegheny, PA)",Marshall-Shadeland,4.71,4.6,4.8,0.1
N13190,3233,CALIFORNIA AVE OPP MARVISTA ST NS,40.4614,-80.0295,BUS,BUS,13,"Pittsburgh city (Allegheny, PA)",Manchester,0.14,0,0,0
N20090,1309,FOREST AVE AT KLEMONT AVE,40.5067,-80.0512,BUS,BUS,13,"Ross township (Allegheny, PA)",,1.1,0.6,0.6,0
N20120,1310,FOREST AVE AT RAVENSWOOD AVE,40.5058,-80.0516,BUS,BUS,13,"Ross township (Allegheny, PA)",,1.29,0.6,1.4,0.05
N71318,22551,CORNELL AVE AT #1718,40.512,-80.0453,BUS,BUS,13,"Ross township (Allegheny, PA)",,,,,
N14335,1302,CENTER AVE OPP YALE AVE,40.5168,-80.0446,BUS,BUS,13,"West View borough (Allegheny, PA)",,1.71,0.6,0.4,0.05
N20060,19752,FOREST AVE OPP #1055,40.5081,-80.0486,BUS,BUS,13,"Ross township (Allegheny, PA)",,1.33,1,0.8,0.05
N13175,3235,CALIFORNIA AVE OPP KUNKLE WAY,40.4601,-80.026,BUS,BUS,13,"Pittsburgh city (Allegheny, PA)",Manchester,2.86,2.6,2,0
