stop_id,stop_code,stop_name,stop_lat,stop_lon,mode,mode_type,route_code,MUNI,HOOD,B_W_202505,B_S_202505,B_U_202505,R_W_202505
S70481,10629,EDEN PARK BLVD AT O'NEIL BLVD,40.3474,-79.8323,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,21.33,17.2,9.2,0.05
X12688,5931,OXFORD DR AT GIANT EAGLE,40.3465,-80.0486,BUS,BUS,All Routes,"Bethel Park municipality (Allegheny, PA)",,10.67,1.6,3.4,0.05
E34559,8534,LARIMER AVE OPP WINSLOW ST,40.4658,-79.9134,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Larimer,4,3.4,1,0.19
N45820,2733,RIALTO ST AT LEY ST,40.466,-79.9819,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Troy Hill,9.29,5.6,3.6,0
W70034,17369,MCKEE RD OPP CCAC WEST,40.4372,-80.1915,BUS,BUS,All Routes,"North Fayette township (Allegheny, PA)",,,,,
S35490,19305,ARLINGTON AVE OPP ROANOKE ST,40.4253,-79.9905,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",South Side Slopes,1.43,0.6,0.2,0
N22440,3194,FREEPORT RD OPP #1372,40.4898,-79.8725,BUS,BUS,All Routes,"O'Hara township (Allegheny, PA)",,1.9,0.4,0.8,0
S45000,11585,ST JOSEPH ST AT OTTILLA ST,40.4135,-79.9817,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Mt. Oliver,15.38,11.2,12,0.24
S70430,21490,GREEN LOT AT BROADWAY AVE,40.3461,-79.8284,BUS,BUS,All Routes,"White Oak borough (Allegheny, PA)",,6.19,5.8,6.2,0.05
X07000,15842,GRANDVIEW AVE AT #1209 (DUQUESNE INCLINE),40.4382,-80.0189,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Duquesne Heights,3.43,2.8,1.4,0
X09310,6663,LABELLE ST AT PIERMONT ST,40.4346,-80.016,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Mount Washington,2.52,0.4,1.2,0
X02170,4749,BOWER HILL RD AT LONGRIDGE DR,40.3819,-80.058,BUS,BUS,All Routes,"Mount Lebanon township (Allegheny, PA)",,3.86,2.2,1,0
X15590,6656,RUTLEDGE ST AT REPUBLIC ST,40.4403,-80.0254,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Duquesne Heights,0,0.2,0,0
N37190,2710,MT TROY RD AT #3735,40.4919,-79.9939,BUS,BUS,All Routes,"Reserve township (Allegheny, PA)",,0.24,0,0,0
S50180,11198,WORTHINGTON AVE AT 10TH ST,40.292,-79.8936,BUS,BUS,All Routes,"Clairton city (Allegheny, PA)",,2.48,2.2,0.4,0
N40030,1376,OHIO RIVER BLVD AT WALLISTON AVE,40.5119,-80.1032,BUS,BUS,All Routes,"Emsworth borough (Allegheny, PA)",,1.1,0.2,0.2,0
S70456,21225,OLD ELIZABETH RD AT WOODHILL RD,40.3477,-79.9336,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,0.24,0,0.4,0
S22275,20185,HOFFMAN BLVD AT CLONMEL ST,40.3828,-79.8669,BUS,BUS,All Routes,"Duquesne city (Allegheny, PA)",,0,0,0,0
N15440,803,CONNIE DR AT JACKS RUN RD,40.4992,-80.0292,BUS,BUS,All Routes,"Ross township (Allegheny, PA)",,1.19,0.2,0,0
N71266,21363,IVORY AVE OPP SCHERLING ST,40.496,-80.0073,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Summer Hill,1.86,0,0.4,0
S46840,10372,WALNUT ST AT 15TH AVE BRIDGE FS,40.3395,-79.8595,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,0.76,1,1,0
E70111,9219,COLUMBO ST AT SCHENLEY AVE,40.4716,-79.9401,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Garfield,2.33,2.2,0.6,0
N15696,127,CORPORATE DR AT #5700,40.5636,-80.0228,BUS,BUS,All Routes,"McCandless township (Allegheny, PA)",,2.67,1.2,0.2,0
S31230,11638,MAIN ST AT E JAMES ST,40.3915,-79.9005,BUS,BUS,All Routes,"Munhall borough (Allegheny, PA)",,2.86,0.6,0,0
E05390,19834,BEATTY RD AT OLD WM PENN HWY,40.4408,-79.7424,BUS,BUS,All Routes,"Monroeville municipality (Allegheny, PA)",,1.52,,,0
E52970,9268,STANTON AVE OPP 52ND ST,40.4775,-79.9505,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Central Lawrenceville,0.76,0.6,0.4,0
N20720,3185,FREEPORT RD AT BOYD AVE,40.4982,-79.8546,BUS,BUS,All Routes,"O'Hara township (Allegheny, PA)",,0.9,1,1,0
E70844,20880,HAZELWOOD AVE AT GIDDINGS ST,40.4145,-79.9392,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Hazelwood,1.38,0.2,0.4,0
X13420,6084,PIONEER AVE AT BERWIN AVE,40.3992,-80.0212,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Brookline,8.33,0.8,1.2,0
S33720,11771,MELLON ST OPP MAINE AVE,40.3648,-79.8591,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,0.86,0.4,0.2,0
S47320,10248,WALNUT ST AT #4913,40.3163,-79.8329,BUS,BUS,All Routes,"Versailles borough (Allegheny, PA)",,0.1,0.2,0,0
N14910,1415,CHATEAU ST AT SHEFFIELD ST,40.4527,-80.0279,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Manchester,0.67,2.2,0,0
W07820,2222,GRAND AVE OPP NEVILLE RECYCLING,40.507,-80.109,BUS,BUS,All Routes,"Neville township (Allegheny, PA)",,6.71,1.8,0.4,0
W70132,21114,MCCOY RD AT S VIREO DR,40.4775,-80.0952,BUS,BUS,All Routes,"Kennedy township (Allegheny, PA)",,1.14,0,0,0
S46810,20309,WALNUT ST AT 14TH AVE,40.3412,-79.8609,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,0.29,0.2,0.4,0
E49595,14762,SALTSBURG RD OPP ASTER ST NS,40.4839,-79.8143,BUS,BUS,All Routes,"Penn Hills township (Allegheny, PA)",,0,0,0,0
W24385,5390,WASHINGTON PIKE AT SCHULTE ST,40.3629,-80.1103,BUS,BUS,All Routes,"Bridgeville borough (Allegheny, PA)",,2.62,0.2,0,0.05
E25100,11068,GREENFIELD AVE AT DELEVAN ST,40.4235,-79.9316,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Greenfield,1.9,0.2,0.2,0
W13505,3470,MCCOY RD OPP JEFFERSON DR,40.4797,-80.0787,BUS,BUS,All Routes,"Stowe township (Allegheny, PA)",,1.81,0.8,1.2,0
E35910,8872,LINCOLN AVE AT RENFREW ST,40.4622,-79.9064,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Larimer,1.43,0.6,0.4,0
E18020,7780,ELECTRIC AVE AT OLYMPIA HALL,40.4028,-79.8373,BUS,BUS,All Routes,"Wilkins township (Allegheny, PA)",,1,0.2,0,0
W23090,5045,SUMMIT PARK DR AT #20,40.4529,-80.1935,BUS,BUS,All Routes,"North Fayette township (Allegheny, PA)",,9.29,1.2,0.4,0
X04050,6586,CEDAR BLVD AT HOLLYCREST DR,40.3777,-80.0553,BUS,BUS,All Routes,"Mount Lebanon township (Allegheny, PA)",,1.24,0.4,0.6,0
E44480,13503,OLD WILLIAM PENN HWY OPP SCOTT DR,40.4415,-79.7514,BUS,BUS,All Routes,"Monroeville municipality (Allegheny, PA)",,1.38,,,0
W25350,5401,WASHINGTON PIKE OPP #1375,40.3794,-80.0959,BUS,BUS,All Routes,"Collier township (Allegheny, PA)",,0.52,0,0.2,0.05
S70381,20610,RAVENSBURG BLVD OPP CLAIRTON MUNICIPAL COMPLEX,40.2958,-79.8938,BUS,BUS,All Routes,"Clairton city (Allegheny, PA)",,0,0,0,0
E25364,11070,GREENFIELD AVE OPP BEEHNER RD,40.4243,-79.9341,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Greenfield,,,,
W25460,5398,WASHINGTON PIKE OPP WINSTEIN ST,40.3737,-80.0991,BUS,BUS,All Routes,"Collier township (Allegheny, PA)",,0,0,0,0
X04250,6581,CEDAR BLVD OPP LINDENDALE DR,40.3676,-80.0613,BUS,BUS,All Routes,"Mount Lebanon township (Allegheny, PA)",,0.14,0.4,0,0
X00470,6451,BANK ST AT ELM ST,40.3537,-80.1066,BUS,BUS,All Routes,"Bridgeville borough (Allegheny, PA)",,0,0,0,0
N28290,2696,IVORY AVE OPP VALLEY VIEW ST,40.4967,-80.0113,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Summer Hill,0.19,0,0.2,0
S46830,20310,WALNUT ST AT 15TH AVE BRIDGE,40.34,-79.8597,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,0,0,0,0
X02150,6425,BOWER HILL RD AT KANE BLVD,40.3718,-80.0825,BUS,BUS,All Routes,"Scott township (Allegheny, PA)",,0.05,0,0,0
N19610,2495,FERGUSON RD AT SWEENEY RD,40.558,-79.9752,BUS,BUS,All Routes,"Hampton township (Allegheny, PA)",,0,0,0,0
N19690,3382,FERGUSON RD OPP SWEENEY RD,40.5579,-79.9757,BUS,BUS,All Routes,"Hampton township (Allegheny, PA)",,0.38,0,0,0
N25500,985,HENDERSON ST AT JAMES ST STEPS,40.4596,-80.0026,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Fineview,0,0,0,0
N42300,19728,PERRY HWY AT HANWAY AVE,40.5044,-80.0265,BUS,BUS,All Routes,"Ross township (Allegheny, PA)",,0,0,0,0
S23550,11257,HWY RT 51 AT BLUE FLAME,40.3052,-79.9342,BUS,BUS,All Routes,"Jefferson Hills borough (Allegheny, PA)",,0.1,0,0,0
S70316,20531,HWY RT 885 AT WRAY LARGE RD,40.3186,-79.9218,BUS,BUS,All Routes,"Jefferson Hills borough (Allegheny, PA)",,0.1,0,0,0
S70350,20566,EAST PITTSBURGH-MCKEESPORT BLV AT PINE PL,40.378,-79.828,BUS,BUS,All Routes,"North Versailles township (Allegheny, PA)",,0,0,0,0
S70388,20642,HWY RT 885 AT COAL VALLEY RD FS,40.3221,-79.9258,BUS,BUS,All Routes,"Jefferson Hills borough (Allegheny, PA)",,0.1,0,0,0
S70463,21232,OLD ELIZABETH RD OPP WOODHILL RD,40.3477,-79.9335,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,0.9,0.6,0.4,0
W08660,18783,HERBST RD AT ROSE AVE FS,40.4872,-80.1184,BUS,BUS,All Routes,"Kennedy township (Allegheny, PA)",,0.19,0,0,0
W11754,5889,LINDSAY RD OPP CHERRY TREE DR,40.3855,-80.0738,BUS,BUS,All Routes,"Scott township (Allegheny, PA)",,0,0,0,0.05
W13470,3498,MCCOY RD OPP GREENWOOD DR,40.4781,-80.094,BUS,BUS,All Routes,"Kennedy township (Allegheny, PA)",,0,0,0,0
X08854,19644,KANE BLVD OPP CHURCH RECTORY,40.3731,-80.0839,BUS,BUS,All Routes,"Scott township (Allegheny, PA)",,0,0,0,0
W70179,22646,UNIVERSITY BLVD AT TIGER TRAIL,40.509,-80.223,BUS,BUS,All Routes,"Moon township (Allegheny, PA)",,7.9,6.6,9.4,0.05
E20940,14165,FRANKSTOWN RD AT CRESTVIEW RD,40.4799,-79.8226,BUS,BUS,All Routes,"Penn Hills township (Allegheny, PA)",,3.05,3.8,2,0
N50220,2812,SOUTH SIDE AVE AT LAPPE LN,40.4702,-79.9966,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Spring Hill-City View,,,,
E49695,14759,SALTSBURG RD AT CRESTVIEW APTS,40.4814,-79.8057,BUS,BUS,All Routes,"Penn Hills township (Allegheny, PA)",,,,,
X08850,6268,KANE BLVD AT HUGHES ST,40.3772,-80.0905,BUS,BUS,All Routes,"Scott township (Allegheny, PA)",,0.71,1.6,0.8,0
N36370,3351,MT ROYAL BLVD AT W GLENN AVE FS,40.5214,-79.9596,BUS,BUS,All Routes,"Shaler township (Allegheny, PA)",,2.19,0.2,0,0
E51070,9220,SCHENLEY AVE OPP PACIFIC AVE,40.472,-79.9388,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Garfield,2.29,1.8,2.6,0
S38470,12006,PENNSYLVANIA AVE AT CARNEGIE ST,40.3621,-79.8564,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,0.52,1.2,0.2,0
X06770,19269,GILKESON RD AT WASHINGTON RD FS,40.3557,-80.0512,BUS,BUS,All Routes,"Mount Lebanon township (Allegheny, PA)",,1.48,0.4,0.2,0
N43020,571,PERRY HWY AT I-279 RAMP,40.5036,-80.0255,BUS,BUS,All Routes,"Ross township (Allegheny, PA)",,0.71,0.4,1,0
E70455,20068,UPLAND ST OPP STERRETT ST STEPS NS,40.4615,-79.8922,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Homewood North,0.52,0,0,0
E25366,11073,GREENFIELD AVE OPP BLANTON ST STEPS FS,40.4246,-79.9377,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Greenfield,0.19,0,0.6,0
X70077,22306,BOGGS AVE OPP MINSINGER ST,40.4185,-80.0121,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Mount Washington,1.81,0.6,0,0
W03895,4105,CHARTIERS AVE OPP DANLEY ST,40.4495,-80.0449,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Crafton Heights,,,,
N37290,2724,MT TROY RD AT CRONEMEYER AVE FS,40.4737,-79.9845,BUS,BUS,All Routes,"Reserve township (Allegheny, PA)",,3.33,0.4,0.4,0.05
E70829,20794,FORBES RD AT MEADOW ST,40.3891,-79.7502,BUS,BUS,All Routes,"Trafford borough (Westmoreland, PA)",,0.19,0,0,0.05
S27050,4863,JOSEPHINE ST OPP #3237,40.419,-79.9647,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",South Side Slopes,0.05,0,0,0
S46920,10262,WALNUT ST AT 28TH AVE,40.3327,-79.8464,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,1.81,1.4,1.4,0
E32303,17126,JAMES ST AT BUENA VISTA RD,40.4202,-79.8083,BUS,BUS,All Routes,"Monroeville municipality (Allegheny, PA)",,0,0,0,0
W22580,3602,STEUBENVILLE PIKE AT WEST HILLS PLAZA,40.4515,-80.1316,BUS,BUS,All Routes,"Robinson township (Allegheny, PA)",,1.62,0.4,0.2,0
S46990,10257,WALNUT ST AT 34TH AVE,40.3296,-79.8415,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,,,,
X09330,6665,LABELLE ST AT VIRGINIA AVE,40.4322,-80.0165,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Mount Washington,3.52,1,0.8,0.05
X18555,18646,VANADIUM RD AT BOWER HILL RD FS,40.3689,-80.0848,BUS,BUS,All Routes,"Scott township (Allegheny, PA)",,0.24,0,0,0
E44420,13502,OLD WILLIAM PENN HWY AT BAYHILL DR,40.4418,-79.7498,BUS,BUS,All Routes,"Monroeville municipality (Allegheny, PA)",,3.48,,,0
W03980,19705,CHARTIERS AVE AT NITTANY ST FS,40.4472,-80.0442,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Crafton Heights,0.43,0.4,0.2,0
S70345,16229,EAST PITTSBURGH-MCKEESPORT BLV OPP FAIRMONT ST,40.3622,-79.8306,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,0.05,0.2,0,0
N28570,860,JACKS RUN RD OPP YORK DR,40.4999,-80.0315,BUS,BUS,All Routes,"Ross township (Allegheny, PA)",,0.86,0.6,0.2,0
S70235,18672,DELWAR DR AT RITTER ENGINEERING,40.3508,-79.9509,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,0,0,0,0
W01830,4190,BERRY ST AT CENTER ST,40.4476,-80.0685,BUS,BUS,All Routes,"Ingram borough (Allegheny, PA)",,0.86,1.4,1,0
S34330,18485,MIFFLIN RD OPP LEBANON RD FS,40.3796,-79.9254,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",New Homestead,0.24,0,0,0
E10270,20723,BRINTON RD AT #1245,40.423,-79.8667,BUS,BUS,All Routes,"Forest Hills borough (Allegheny, PA)",,0.52,0.6,0.2,0
W08760,3445,HERBST RD AT VIGNE RD,40.4895,-80.1196,BUS,BUS,All Routes,"Kennedy township (Allegheny, PA)",,0.14,0,0,0
N14690,1787,N CHARLES ST OPP CROSS ST,40.4652,-80.0207,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Perry South,0.76,0.2,0.4,0
W10470,18793,ISLAND AVE AT ORR ST FS,40.4842,-80.0723,BUS,BUS,All Routes,"Stowe township (Allegheny, PA)",,0.81,0.8,0.4,0
E32280,8071,JAMES ST AT JAMES ST EXT,40.4236,-79.794,BUS,BUS,All Routes,"Monroeville municipality (Allegheny, PA)",,0,0.4,0.6,0
W14400,3430,CORAOPOLIS RD AT #28,40.4841,-80.107,BUS,BUS,All Routes,"Kennedy township (Allegheny, PA)",,0.29,0.4,0,0
E70827,20791,FOREST AVE AT 7TH ST,40.3873,-79.7571,BUS,BUS,All Routes,"Trafford borough (Westmoreland, PA)",,0.05,0.2,0,0
S70401,20526,LEWIS RUN RD AT HWY 885,40.3324,-79.934,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,0,0,0,0
X04000,19275,CEDAR BLVD OPP DUQUESNE DR,40.3791,-80.0539,BUS,BUS,All Routes,"Mount Lebanon township (Allegheny, PA)",,,,,
S39860,9428,PROSPECT RD OPP GIESE DR,40.3638,-79.9749,BUS,BUS,All Routes,"Whitehall borough (Allegheny, PA)",,1.81,0.2,0,0
X70063,19583,COCHRAN RD AT PARKER DR,40.3884,-80.0569,BUS,BUS,All Routes,"Mount Lebanon township (Allegheny, PA)",,0.24,0,0,0
N19530,3377,FERGUSON RD AT GUYTON RD,40.5649,-79.9928,BUS,BUS,All Routes,"McCandless township (Allegheny, PA)",,0,0,0,0
N14900,1416,CHATEAU ST AT PENNSYLVANIA AVE,40.4535,-80.0282,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Manchester,0.57,0.4,0.6,0
W70151,21524,CORAOPOLIS RD AT #285,40.502,-80.1207,BUS,BUS,All Routes,"Robinson township (Allegheny, PA)",,0.1,0,0,0
W22700,4330,STEUBENVILLE PIKE OPP FIRESIDE INN,40.4396,-80.0893,BUS,BUS,All Routes,"Robinson township (Allegheny, PA)",,0.19,0,0.2,0
W13520,3463,MCCOY RD OPP WARBLER DR,40.4804,-80.091,BUS,BUS,All Routes,"Kennedy township (Allegheny, PA)",,1.71,0,0.4,0
N08500,1452,BEAVER ST AT OSBORNE LN,40.5331,-80.1719,BUS,BUS,All Routes,"Glen Osborne borough (Allegheny, PA)",,0,0,0,0
N37300,2782,MT TROY RD OPP MOST HOLY NAME OF JESUS CEMETE,40.488,-79.9921,BUS,BUS,All Routes,"Reserve township (Allegheny, PA)",,0,0,0,0
N71267,21364,IVORY AVE AT SCHERLING ST,40.4958,-80.0054,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Summer Hill,0.05,0,0,0
W08590,3443,HERBST RD AT DOWNS DR,40.4928,-80.1183,BUS,BUS,All Routes,"Kennedy township (Allegheny, PA)",,0,0,0,0
W17980,5530,NOBLESTOWN RD OPP #2793,40.4191,-80.0666,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",East Carnegie,0,0,0,0
W20430,18257,RIVER AVE AT UNDERPASS,40.4704,-80.0541,BUS,BUS,All Routes,"McKees Rocks borough (Allegheny, PA)",,0.24,0.6,0,0
E27510,7171,HAWKINS AVE AT #504,40.4082,-79.8655,BUS,BUS,All Routes,"North Braddock borough (Allegheny, PA)",,1.76,0,0.8,0.05
E32226,12062,IMOGENE RD OPP DESDEMONA AVE,40.4119,-79.9228,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Hazelwood,0,0,0,0
E70328,20064,WILTSIE ST AT HIGHLAND DR FS,40.4762,-79.8985,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Lincoln-Lemington-Belmar,0,1.8,0,0
N08580,1368,BEAVER ST AT #1446,40.5299,-80.1656,BUS,BUS,All Routes,"Glen Osborne borough (Allegheny, PA)",,0.1,0.2,0,0
N28540,859,JACKS RUN RD OPP CONNIE DR,40.4991,-80.0294,BUS,BUS,All Routes,"Ross township (Allegheny, PA)",,0.05,0,0,0.1
N36955,19854,MT TROY RD AT FORNOF LN,40.4782,-79.9861,BUS,BUS,All Routes,"Reserve township (Allegheny, PA)",,0.05,0,0,0
N36980,2786,MT TROY RD AT GEYER RD,40.4934,-79.9948,BUS,BUS,All Routes,"Reserve township (Allegheny, PA)",,0,0,0,0
N71309,22484,SEAVEY RD OPP ELBE DR NS,40.4914,-79.9698,BUS,BUS,All Routes,"Shaler township (Allegheny, PA)",,0,0,0,0
W11723,5899,LINDSAY RD AT #509,40.3821,-80.0857,BUS,BUS,All Routes,"Scott township (Allegheny, PA)",,0,0,0,0
W17640,19682,NOBLESTOWN RD OPP BARTOW ST,40.4376,-80.0523,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Crafton Heights,0.05,0,0,0
X00440,6450,BANK ST AT CHESTNUT ST,40.3544,-80.1076,BUS,BUS,All Routes,"Bridgeville borough (Allegheny, PA)",,0,0,0,0
X02620,6421,BOWER HILL RD OPP PAT HAVEN DR,40.3734,-80.0756,BUS,BUS,All Routes,"Mount Lebanon township (Allegheny, PA)",,0,0,0,0
X04070,4741,CEDAR BLVD AT LONGRIDGE DR,40.3786,-80.0545,BUS,BUS,All Routes,"Mount Lebanon township (Allegheny, PA)",,0,0,0,0
X18577,6435,VANADIUM RD AT VANADIUM WOODS VILLAGE NS,40.3722,-80.0898,BUS,BUS,All Routes,"Scott township (Allegheny, PA)",,0,0,0,0
W23104,19186,SUMMIT PARK DR AT QUINN DR,40.4476,-80.1787,BUS,BUS,All Routes,"North Fayette township (Allegheny, PA)",,6,4.2,1,0
X02670,6281,BOWER HILL RD AT LAKEMONT DR (ST CLAIR HOSPITAL,40.3779,-80.0652,BUS,BUS,All Routes,"Mount Lebanon township (Allegheny, PA)",,5.33,1.4,1.2,0
S27450,10895,KENNYWOOD BLVD AT #4000,40.3926,-79.8699,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,0.05,0,0,0
X13500,6083,PIONEER AVE AT GALLION AVE,40.3985,-80.0221,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Brookline,,,,
S45020,11587,ST JOSEPH ST AT #144,40.4134,-79.9853,BUS,BUS,All Routes,"Mount Oliver borough (Allegheny, PA)",,2.48,1.8,3.6,0
E53020,9282,STANTON AVE OPP JANCEY ST,40.4742,-79.9316,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Stanton Heights,2.81,1.4,0,0
X06860,6658,GRANDVIEW AVE AT AUGUSTA ST,40.4398,-80.0221,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Duquesne Heights,0.19,0,0.4,0
X02430,6278,BOWER HILL RD AT SYLVANDELL DR,40.3744,-80.0734,BUS,BUS,All Routes,"Mount Lebanon township (Allegheny, PA)",,3.1,1.6,1.4,0
X08848,6269,KANE BLVD AT ELM DR,40.3759,-80.0886,BUS,BUS,All Routes,"Scott township (Allegheny, PA)",,0.81,1,0.6,0
N70173,16991,PATRIOT WAY AT DELAFIELD RD,40.497,-79.8909,BUS,BUS,All Routes,"O'Hara township (Allegheny, PA)",,0.71,1.4,0.2,0
N28050,2822,ITIN ST AT GOEHRING ST,40.4611,-79.9934,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",East Allegheny,2,0.8,0.2,0
S25570,11625,INTERBORO AVE OPP LINDBERG AVE,40.3753,-79.9105,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Lincoln Place,1.62,0.6,0.8,0
X20590,6240,WINFIELD ST AT BANK ST,40.3504,-80.1046,BUS,BUS,All Routes,"Bridgeville borough (Allegheny, PA)",,0.95,1,0.6,0.05
N29830,20183,LEY ST AT FROMAN ST,40.4648,-79.9822,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Troy Hill,3.24,2,0.2,0
X00480,6242,BANK ST AT GRANDVIEW AVE,40.353,-80.1057,BUS,BUS,All Routes,"Bridgeville borough (Allegheny, PA)",,1.43,0.4,0,0
W23196,5811,SWALLOW HILL RD OPP THE KNOLLS,40.3873,-80.0737,BUS,BUS,All Routes,"Mount Lebanon township (Allegheny, PA)",,1.33,1.8,1.6,0
X19930,6288,WEST LIBERTY AVE AT BLAINE ST,40.3968,-80.0304,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Brookline,1.38,2.2,0.6,0.1
X15710,18644,SARAH ST AT WINFIELD ST,40.3504,-80.1037,BUS,BUS,All Routes,"Bridgeville borough (Allegheny, PA)",,,,,
W23183,5813,SWALLOW HILL RD AT THE BOURSE,40.3892,-80.074,BUS,BUS,All Routes,"Scott township (Allegheny, PA)",,0.71,0.2,0,0
W13190,3466,MCCOY RD AT AL SMITH DR,40.4799,-80.0855,BUS,BUS,All Routes,"Kennedy township (Allegheny, PA)",,1.67,4,0,0.05
N33025,152,MCKNIGHT RD OPP BROOKVIEW LN,40.5117,-80.0039,BUS,BUS,All Routes,"Ross township (Allegheny, PA)",,,,,
E57960,9168,WILNER DR AT ROBINSON BLVD,40.4528,-79.8668,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",East Hills,1.24,0.4,0.2,0
N41090,454,PEEBLES RD AT REMINGTON DR,40.5612,-80.0132,BUS,BUS,All Routes,"McCandless township (Allegheny, PA)",,0.43,0,0,0
E40990,8930,MT CARMEL RD OPP PERSHING ST,40.4657,-79.8763,BUS,BUS,All Routes,"Penn Hills township (Allegheny, PA)",,1.62,0,0,0
N37050,2712,MT TROY RD AT KLEMENTINA DR,40.4895,-79.9925,BUS,BUS,All Routes,"Reserve township (Allegheny, PA)",,0,0,0,0
S25099,10078,HWY RT 885 AT LEWIS RUN RD,40.3323,-79.9337,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,1,1.2,0.4,0.05
N35740,3335,MT ROYAL BLVD AT EADE AVE,40.5466,-79.9724,BUS,BUS,All Routes,"Shaler township (Allegheny, PA)",,0.33,0,0,0
E55340,8817,VERONA BLVD AT #7278,40.4709,-79.8883,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Lincoln-Lemington-Belmar,,,,
W07340,3453,FOREST GROVE RD AT SPEER DR,40.4818,-80.1098,BUS,BUS,All Routes,"Kennedy township (Allegheny, PA)",,1.24,0.4,0.6,0.05
E47500,7751,PITCAIRN-TRAFFORD RD AT CLARK ST,40.3952,-79.7672,BUS,BUS,All Routes,"Monroeville municipality (Allegheny, PA)",,0.52,0,0.4,0
E56190,8420,WARDSONS ST AT CHURCHLAND ST,40.4721,-79.8974,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Lincoln-Lemington-Belmar,,,,
X01920,19651,BOGGS AVE AT PAUL ST,40.4224,-80.0101,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Mount Washington,4.24,1.4,0.8,0.1
N32855,3079,MCKNIGHT RD AT PITTSBURGH REVIVAL CENTER,40.5029,-80.0108,BUS,BUS,All Routes,"Ross township (Allegheny, PA)",,0.19,0.4,0.8,0
X15250,6190,REAMER ST AT #1555,40.3919,-80.0026,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Brookline,0.57,0,0,0
