stop_id,stop_name,usage_stop_name,id_name_mismatch,muni,hood,lat,lon,weekday_boardings,saturday_boardings,sunday_boardings,cur_weekday_trips,prop_weekday_trips,cur_weekday_hourly,prop_weekday_hourly,cur_early_4_6a,cur_am_6_9a,cur_mid_9a_3p,cur_pm_3_6p,cur_eve_6_8p,cur_late_8_11p,cur_owl_11p_4a,prop_early_4_6a,prop_am_6_9a,prop_mid_9a_3p,prop_pm_3_6p,prop_eve_6_8p,prop_late_8_11p,prop_owl_11p_4a,current_routes,proposed_routes,n_current_routes,n_proposed_routes,cur_saturday_trips,prop_saturday_trips,cur_saturday_hourly,prop_saturday_hourly,cur_sunday_trips,prop_sunday_trips,cur_sunday_hourly,prop_sunday_hourly,cur_week_any_minimum,prop_week_any_minimum,cur_weekdays_any_minimum,prop_weekdays_any_minimum,cur_weekends_any_minimum,prop_weekends_any_minimum,cur_week_any_hourly,prop_week_any_hourly,cur_weekend_any_hourly,prop_weekend_any_hourly,cur_week_any_minimum_150m,prop_week_any_minimum_150m,cur_weekdays_any_minimum_150m,prop_weekdays_any_minimum_150m,cur_weekends_any_minimum_150m,prop_weekends_any_minimum_150m,cur_week_any_hourly_150m,prop_week_any_hourly_150m,cur_weekend_any_hourly_150m,prop_weekend_any_hourly_150m
8671,CENTRE AVE + DEVILLIERS,CENTRE AVE AT DEVILLIERS ST,0,"Pittsburgh city (Allegheny, PA)",Middle Hill,40.443735,-79.980277,22.71,14.2,10.6,232,306,1,1,9,40,68,46,25,32,12,10,53,105,54,31,32,21,81;82;83,81;82;83;84,3,4,172,240,1,1,168,180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9137,FRANKSTOWN AVE + MURTLAND ST,FRANKSTOWN AVE AT MURTLAND ST,0,"Pittsburgh city (Allegheny, PA)",Homewood West,40.458486,-79.90125,22.71,6.6,7.0,240,164,1,1,12,40,73,43,23,31,18,5,27,60,30,17,15,10,71D;77;86,72;86,3,2,204,124,1,1,154,92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3621,BROADWAY ST + WAYNE,BROADWAY AVE AT WAYNE AVE,0,"McKees Rocks borough (Allegheny, PA)",,40.469253,-80.069234,22.71,15.4,13.2,62,66,1,1,3,12,23,12,6,6,0,1,12,24,11,9,6,3,24,24,1,1,34,48,1,1,32,32,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
210,MCINTYRE SQUARE + GABRIEL BROTHERS,MCINTYRE SQUARE AT GABRIEL BROTHERS,0,"McCandless township (Allegheny, PA)",,40.554013,-80.016522,22.67,29.8,15.4,110,92,1,1,7,24,30,26,10,12,1,3,16,25,17,10,12,9,12;2;O12;P13,12;12L;17,4,3,69,98,1,1,47,74,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15453,NEGLEY AVE + WALNUT,NEGLEY AVE AT WALNUT ST,0,"Pittsburgh city (Allegheny, PA)",Shadyside,40.452143,-79.931078,22.62,34.8,28.6,486,468,1,1,17,82,155,94,48,53,37,15,82,157,79,51,44,40,28X;64;71B;71D;75,45;64;71X;72;75,5,5,410,404,1,1,306,294,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0
1262,CALIFORNIA AVE + BIRMINGHAM,CALIFORNIA AVE AT BIRMINGHAM AVE,0,"Avalon borough (Allegheny, PA)",,40.501869,-80.069385,22.62,16.6,12.4,171,218,1,1,11,33,48,35,16,16,12,9,38,64,40,23,26,18,14;16;19L,14;16;17;19L,3,4,114,138,1,1,102,136,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5430,NOBLESTOWN RD + CRAFTON,NOBLESTOWN RD OPP CRAFTON BLVD,0,"Pittsburgh city (Allegheny, PA)",Westwood,40.437486,-80.053761,22.62,7.8,2.4,56,54,1,1,1,10,19,9,6,10,1,0,9,18,10,8,6,3,31,31,1,1,28,34,0,0,28,28,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0
20104,PENN AVE + GRANT,PENN AVE AT GRANT ST,0,"Turtle Creek borough (Allegheny, PA)",,40.404656,-79.825593,22.52,32.2,19.8,150,94,1,1,7,26,46,27,16,18,10,2,12,32,14,12,16,6,59;69;P68;P69,68;69;69S,4,3,87,64,1,1,79,56,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10916,MURRAY AVE + WELFER,MURRAY AVE AT WELFER ST,0,"Pittsburgh city (Allegheny, PA)",Greenfield,40.424896,-79.928058,22.48,10.0,5.4,467,422,1,1,20,81,149,93,47,46,31,10,69,142,71,51,48,31,52L;53L;58;61C;61D;64;93,50;53;58;61X;64;93,7,6,318,318,1,1,212,220,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7628,PENN AVE + BRUSHTON,PENN AVE AT BRUSHTON AVE,0,"Pittsburgh city (Allegheny, PA)",Point Breeze North,40.4466,-79.893367,22.48,8.8,6.8,452,456,1,1,16,76,130,112,45,48,25,13,69,154,96,51,46,27,67;69;71;71C;71D;79;86;P12;P16;P17;P67;P68;P69;P7;P71;P76;P78,52L;58;67;68;69;69S;70;72;73L;76L;77L;78;78S;79;88,17,15,267,330,1,1,191,244,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10129,SOUTH CAMPUS DRVWY + LIBRARY ENTRANCE,SOUTH CAMPUS DRVWY AT LIBRARY ENTRANCE,0,"West Mifflin borough (Allegheny, PA)",,40.330153,-79.923501,22.48,8.4,6.2,81,48,1,1,1,17,35,16,4,6,2,1,7,20,9,7,4,0,55;Y47;Y49,55,3,1,48,0,0,0,48,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0
6154,WEST LIBERTY AVE + ILLINOIS (POTOMAC),WEST LIBERTY AVE AT ILLINOIS AVE,0,"Dormont borough (Allegheny, PA)",,40.395175,-80.033986,22.43,9.4,6.0,44,92,0,1,2,10,11,9,4,5,3,2,16,27,17,11,13,6,41,34;35;35S,1,3,36,60,0,0,24,56,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0
19326,PERRYSVILLE AVE + KENNEDY,PERRYSVILLE AVE AT KENNEDY AVE FS,0,"Pittsburgh city (Allegheny, PA)",Perry South,40.474291,-80.010501,22.38,11.8,7.2,192,125,1,1,8,40,60,38,18,20,8,4,21,45,22,14,11,8,11;15;8,11;8,3,2,140,89,1,1,92,70,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21452,SKYLINE DR + BALDWIN HEALTH CENTER,SKYLINE DR AT BALDWIN HEALTH CENTER,0,"Whitehall borough (Allegheny, PA)",,40.366636,-79.962492,22.38,16.4,10.8,36,50,0,0,1,6,12,6,4,6,1,1,10,14,10,6,6,3,Y49,49,1,1,30,30,0,0,26,28,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0
4099,CHARTIERS AVE + HILLSBORO,CHARTIERS AVE AT HILLSBORO ST,0,"Pittsburgh city (Allegheny, PA)",Sheraden,40.453375,-80.05485,22.38,8.0,7.2,254,276,1,1,11,55,69,55,25,29,10,9,54,83,53,31,28,18,26;28X;G2;G3;G31,23L;25;26;28X;G1,5,5,184,208,1,1,172,184,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
7469,BRADDOCK AVE + COREY,BRADDOCK AVE AT COREY AVE,0,"Braddock borough (Allegheny, PA)",,40.403771,-79.869163,22.33,14.6,12.4,294,170,1,1,12,45,97,50,33,32,25,6,26,51,26,18,23,20,59;61A;61B,60X;66,3,2,232,150,1,1,152,110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3270,HIGHLAND AVE + STATION ST,HIGHLAND AVE AT STATION ST,0,"Pittsburgh city (Allegheny, PA)",East Liberty,40.463612,-79.923811,22.33,12.8,8.6,700,894,1,1,26,112,225,127,75,89,46,28,153,291,152,103,89,78,71B;71C;74;75;77;82;86;88;89,1;71X;75;79;80X;82;86;87;88;92,9,10,572,768,1,1,450,548,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7354,YOST BLVD + ARDMORE F S,YOST BLVD AT ARDMORE BLVD FS,0,"Forest Hills borough (Allegheny, PA)",,40.415474,-79.84803,22.33,19.8,11.4,123,50,1,0,7,24,32,27,11,14,8,3,8,12,10,5,9,3,59;69;P69;P76,69;69S;76L,4,3,56,30,0,0,48,28,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0
1608,BRIGHTON RD + WOODS RUN,BRIGHTON RD AT WOODS RUN AVE,0,"Pittsburgh city (Allegheny, PA)",Marshall-Shadeland,40.476352,-80.031616,22.33,11.8,11.0,176,166,1,1,9,34,56,35,14,16,12,7,30,49,28,19,18,15,16;17,14;16,2,2,116,108,1,1,116,108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
