tier,place,net_km2
WEEKEND-ANY-HOURLY,"Oakmont borough (Allegheny, PA)",1.51
WEEKEND-ANY-HOURLY,"Collier township (Allegheny, PA)",1.88
WEEKEND-ANY-HOURLY,Perry South,0.22
WEEKEND-ANY-HOURLY,"Ambridge borough (Beaver, PA)",1.74
WEEKEND-ANY-HOURLY,Garfield,0.63
WEEKEND-ANY-HOURLY,Swisshelm Park,0.63
WEEKEND-ANY-HOURLY,Squirrel Hill South,1.31
WEEKEND-ANY-HOURLY,"Glen Osborne borough (Allegheny, PA)",1.14
WEEKEND-ANY-HOURLY,"Swissvale borough (Allegheny, PA)",0.3
WEEKEND-ANY-HOURLY,Highland Park,0.8
WEEKEND-ANY-HOURLY,Duquesne Heights,0.37
WEEKEND-ANY-HOURLY,"Haysville borough (Allegheny, PA)",0.25
WEEKEND-ANY-HOURLY,"Emsworth borough (Allegheny, PA)",0.45
WEEKEND-ANY-HOURLY,"White Oak borough (Allegheny, PA)",0.19
WEEKEND-ANY-HOURLY,"Braddock Hills borough (Allegheny, PA)",0.14
WEEKEND-ANY-HOURLY,Westwood,0.04
WEEKEND-ANY-HOURLY,"Munhall borough (Allegheny, PA)",0.29
WEEKEND-ANY-HOURLY,Polish Hill,0.06
WEEKEND-ANY-HOURLY,"Brackenridge borough (Allegheny, PA)",0.3
WEEKEND-ANY-HOURLY,West End,0.04
WEEKEND-ANY-HOURLY,"Trafford borough (Westmoreland, PA)",0.05
WEEKEND-ANY-HOURLY,"Dravosburg borough (Allegheny, PA)",0.02
WEEKEND-ANY-HOURLY,Squirrel Hill North,0.17
WEEKEND-ANY-HOURLY,Larimer,0.46
WEEKEND-ANY-HOURLY,"Findlay township (Allegheny, PA)",0.14
WEEKEND-ANY-HOURLY,"Upper St. Clair township (Allegheny, PA)",0.27
WEEKEND-ANY-HOURLY,Allegheny West,0.02
WEEKEND-ANY-HOURLY,Esplen,0.01
WEEKEND-ANY-HOURLY,"Fox Chapel borough (Allegheny, PA)",0.01
WEEKEND-ANY-HOURLY,Oakwood,0.04
