place,anchor,status,weekday_boardings,stops_now,stops_proposed,n_routes_now,n_routes_proposed,routes_now,routes_proposed,routes_kept,routes_lost,routes_gained
Northview Heights,Downtown,keeps,240.15,22,22,2,3,12;6,12;18;6,12;6,,18
Northview Heights,Oakland,none either way,240.15,22,22,0,0,,,,,
"O'Hara township (Allegheny, PA)",Downtown,keeps,156.3,45,41,2,2,1;91,1L;91,91,1,1L
"O'Hara township (Allegheny, PA)",Oakland,keeps,156.3,45,41,1,1,75,75,75,,
"Oakmont borough (Allegheny, PA)",Downtown,keeps,30.19,30,18,2,1,P16;P78,78,,P16;P78,78
"Oakmont borough (Allegheny, PA)",Oakland,none either way,30.19,30,18,0,0,,,,,
Oakwood,Downtown,keeps,68.39,9,9,5,5,28X;31;G2;G3;G31,23L;25;28X;31;G1,28X;31,G2;G3;G31,23L;25;G1
Oakwood,Oakland,keeps,68.39,9,9,1,1,28X,28X,28X,,
Overbrook,Downtown,keeps,67.1,13,14,5,2,Y1;Y45;Y46;Y47;Y49,46L;49,,Y1;Y45;Y46;Y47;Y49,46L;49
Overbrook,Oakland,none either way,67.1,13,14,0,0,,,,,
"Penn Hills township (Allegheny, PA)",Downtown,keeps,561.02,268,223,4,3,77;P16;P17;P78,77L;78;86,,77;P16;P17;P78,77L;78;86
"Penn Hills township (Allegheny, PA)",Oakland,loses,561.02,268,223,1,0,77,,,77,
Perry North,Downtown,keeps,319.96,34,30,4,4,12;15;4;8,12;18;6;8,12;8,15;4,18;6
Perry North,Oakland,none either way,319.96,34,30,0,0,,,,,
Perry South,Downtown,keeps,441.52,64,49,5,4,11;15;16;17;8,11;14;16;8,11;16;8,15;17,14
Perry South,Oakland,none either way,441.52,64,49,0,0,,,,,
"Pitcairn borough (Allegheny, PA)",Downtown,keeps,2.0,3,3,2,1,69;P69,69,69,P69,
"Pitcairn borough (Allegheny, PA)",Oakland,loses,2.0,3,3,1,0,69,,,69,
"Pleasant Hills borough (Allegheny, PA)",Downtown,keeps,149.04,29,28,4,3,51;Y1;Y46;Y47,46L;49;51,51,Y1;Y46;Y47,46L;49
"Pleasant Hills borough (Allegheny, PA)",Oakland,none either way,149.04,29,28,0,0,,,,,
"Plum borough (Allegheny, PA)",Downtown,keeps,22.62,36,2,3,1,77;P12;P16,73L,,77;P12;P16,73L
"Plum borough (Allegheny, PA)",Oakland,loses,22.62,36,2,1,0,77,,,77,
Point Breeze,Downtown,keeps,205.82,38,31,6,5,28X;61A;61B;67;69;P71,58;60X;62X;70;88,,28X;61A;61B;67;69;P71,58;60X;62X;70;88
Point Breeze,Oakland,keeps,205.82,38,31,7,5,28X;61A;61B;67;69;71C;71D,58;60X;62X;70;72,,28X;61A;61B;67;69;71C;71D,58;60X;62X;70;72
Point Breeze North,Downtown,keeps,170.83,16,16,4,6,28X;67;69;88,58;70;80X;87;88;92,88,28X;67;69,58;70;80X;87;92
Point Breeze North,Oakland,keeps,170.83,16,16,5,5,28X;67;69;71C;71D,45;58;70;72;80X,,28X;67;69;71C;71D,45;58;70;72;80X
Polish Hill,Downtown,keeps,150.47,27,23,17,15,77;86;87;88;91;P1;P10;P12;P16;P17;P67;P68;P69;P7;P71;P76;P78,1L;52L;67;69;73L;76L;77L;78;84;86;87;88;91;92;P1,86;87;88;91;P1,77;P10;P12;P16;P17;P67;P68;P69;P7;P71;P76;P78,1L;52L;67;69;73L;76L;77L;78;84;92
Polish Hill,Oakland,keeps,150.47,27,23,2,2,54;77,54;84,54,77,84
"Rankin borough (Allegheny, PA)",Downtown,keeps,85.32,21,16,3,3,61B;P7;P71,52L;60X;62X,,61B;P7;P71,52L;60X;62X
"Rankin borough (Allegheny, PA)",Oakland,keeps,85.32,21,16,1,2,61B,60X;62X,,61B,60X;62X
Regent Square,Downtown,keeps,34.43,9,9,3,3,61A;61B;P71,58;60X;62X,,61A;61B;P71,58;60X;62X
Regent Square,Oakland,keeps,34.43,9,9,2,3,61A;61B,58;60X;62X,,61A;61B,58;60X;62X
"Reserve township (Allegheny, PA)",Downtown,loses,16.21,46,0,2,0,4;7,,,4;7,
"Reserve township (Allegheny, PA)",Oakland,none either way,16.21,46,0,0,0,,,,,
Ridgemont,Downtown,gains,1.19,5,6,0,1,,53,,,53
Ridgemont,Oakland,gains,1.19,5,6,0,1,,53,,,53
"Robinson township (Allegheny, PA)",Downtown,keeps,489.33,54,61,3,3,24;28X;29,24;25;29,24;29,28X,25
"Robinson township (Allegheny, PA)",Oakland,loses,489.33,54,61,1,0,28X,,,28X,
"Ross township (Allegheny, PA)",Downtown,keeps,458.72,153,92,10,9,12;13;17;2;4;8;O1;O12;O5;P13,10L;12;12L;13;18;2L;5;6;8,12;13;8,17;2;4;O1;O12;O5;P13,10L;12L;18;2L;5;6
"Ross township (Allegheny, PA)",Oakland,gains,458.72,153,92,0,1,,9,,,9
"Scott township (Allegheny, PA)",Downtown,keeps,219.1,100,51,4,3,31;38;41;G31,31;35;38,31;38,41;G31,35
"Scott township (Allegheny, PA)",Oakland,gains,219.1,100,51,0,1,,35,,,35
"Sewickley borough (Allegheny, PA)",Downtown,keeps,60.98,23,18,1,1,21,14,,21,14
"Sewickley borough (Allegheny, PA)",Oakland,none either way,60.98,23,18,0,0,,,,,
Shadyside,Downtown,keeps,3468.38,78,66,18,17,28X;71B;77;82;86;88;P1;P10;P12;P16;P17;P67;P68;P69;P7;P71;P76;P78,1L;28X;52L;67;69;71X;73L;76L;77L;78;80X;82;86;87;88;92;P1,28X;82;86;88;P1,71B;77;P10;P12;P16;P17;P67;P68;P69;P7;P71;P76;P78,1L;52L;67;69;71X;73L;76L;77L;78;80X;87;92
Shadyside,Oakland,keeps,3468.38,78,66,9,9,28X;71A;71B;71C;71D;75;77;82;P3,28X;45;71X;72;75;80X;82;85;P3,28X;75;82;P3,71A;71B;71C;71D;77,45;71X;72;80X;85
"Shaler township (Allegheny, PA)",Downtown,keeps,54.27,55,57,2,2,2;P13,2L;5,,2;P13,2L;5
"Shaler township (Allegheny, PA)",Oakland,none either way,54.27,55,57,0,0,,,,,
"Sharpsburg borough (Allegheny, PA)",Downtown,keeps,314.88,36,36,2,3,1;91,1L;5;91,91,1,1L;5
"Sharpsburg borough (Allegheny, PA)",Oakland,keeps,314.88,36,36,1,1,75,75,75,,
Sheraden,Downtown,keeps,472.14,43,41,6,5,26;27;28X;G2;G3;G31,23L;25;26;28X;G1,26;28X,27;G2;G3;G31,23L;25;G1
Sheraden,Oakland,keeps,472.14,43,41,1,1,28X,28X,28X,,
South Oakland,Downtown,keeps,303.66,19,24,13,13,28X;56;57;58;61A;61B;61C;65;67;69;71B;81;83,28X;35;53;56;58;60X;61X;62X;70;71X;80X;83;84,28X;56;58;83,57;61A;61B;61C;65;67;69;71B;81,35;53;60X;61X;62X;70;71X;80X;84
"South Park township (Allegheny, PA)",Downtown,loses,2.15,14,0,1,0,Y45,,,Y45,
"South Park township (Allegheny, PA)",Oakland,none either way,2.15,14,0,0,0,,,,,
South Shore,Downtown,keeps,362.57,14,16,29,24,20;21;22;24;26;27;28X;29;31;38;39;40;41;43;44;48;51;51L;BLUE;G2;G3;G31;RED;SLVR;Y1;Y45;Y46;Y47;Y49,21;22;23L;24;25;26;27;28X;29;31;35;38;39;40;44;46L;48;49;51;57;BLUE;G1;RED;SILVER,21;22;24;26;27;28X;29;31;38;39;40;44;48;51;BLUE;RED,20;41;43;51L;G2;G3;G31;SLVR;Y1;Y45;Y46;Y47;Y49,23L;25;35;46L;49;57;G1;SILVER
South Shore,Oakland,keeps,362.57,14,16,1,2,28X,28X;35,28X,,35
South Side Flats,Downtown,keeps,1950.8,44,45,4,5,48;51;81;83,48;51;57;83;84,48;51;83,81,57;84
South Side Flats,Oakland,keeps,1950.8,44,45,4,5,54;75;81;83,45;54;72;83;84,54;83,75;81,45;72;84
South Side Slopes,Downtown,keeps,395.96,39,39,3,3,43;48;51,40;48;51,48;51,43,40
South Side Slopes,Oakland,keeps,395.96,39,39,1,1,54,45,,54,45
Spring Garden,Downtown,keeps,20.82,26,17,2,2,6;7,6;7,6;7,,
Spring Garden,Oakland,none either way,20.82,26,17,0,0,,,,,
Spring Hill-City View,Downtown,keeps,122.26,31,33,2,3,12;6,12;18;6,12;6,,18
Spring Hill-City View,Oakland,none either way,122.26,31,33,0,0,,,,,
"Springdale borough (Allegheny, PA)",Downtown,keeps,77.51,21,21,2,1,1;P10,1L,,1;P10,1L
"Springdale borough (Allegheny, PA)",Oakland,none either way,77.51,21,21,0,0,,,,,
"Springdale township (Allegheny, PA)",Downtown,keeps,2.2,4,4,2,1,1;P10,1L,,1;P10,1L
"Springdale township (Allegheny, PA)",Oakland,none either way,2.2,4,4,0,0,,,,,
Squirrel Hill North,Downtown,keeps,2322.1,76,63,8,7,28X;58;61A;61B;61C;67;69;71B,28X;35;60X;61X;62X;70;71X,28X,58;61A;61B;61C;67;69;71B,35;60X;61X;62X;70;71X
Squirrel Hill North,Oakland,keeps,2322.1,76,63,10,10,28X;58;61A;61B;61C;61D;67;69;71B;71D,28X;35;45;50;60X;61X;62X;70;71X;72,28X,58;61A;61B;61C;61D;67;69;71B;71D,35;45;50;60X;61X;62X;70;71X;72
Squirrel Hill South,Downtown,keeps,1694.07,65,62,4,4,61A;61B;61C;65,58;60X;61X;62X,,61A;61B;61C;65,58;60X;61X;62X
Squirrel Hill South,Oakland,keeps,1694.07,65,62,6,6,61A;61B;61C;61D;65;93,50;58;60X;61X;62X;93,93,61A;61B;61C;61D;65,50;58;60X;61X;62X
St. Clair,Downtown,keeps,0.0,1,1,1,1,44,44,44,,
St. Clair,Oakland,none either way,0.0,1,1,0,0,,,,,
Stanton Heights,Downtown,keeps,24.24,12,12,1,2,87,87;92,87,,92
Stanton Heights,Oakland,none either way,24.24,12,12,0,0,,,,,
"Stowe township (Allegheny, PA)",Downtown,keeps,420.52,48,48,3,3,21;22;24,21;22;24,21;22;24,,
"Stowe township (Allegheny, PA)",Oakland,none either way,420.52,48,48,0,0,,,,,
Strip District,Downtown,keeps,294.68,24,24,4,6,86;87;88;91,84;86;87;88;91;92,86;87;88;91,,84;92
Strip District,Oakland,keeps,294.68,24,24,1,2,54,54;84,54,,84
Summer Hill,Downtown,keeps,43.2,24,8,7,4,12;15;4;6;7;O12;O5,12;12L;18;6,12;6,15;4;7;O12;O5,12L;18
Summer Hill,Oakland,none either way,43.2,24,8,0,0,,,,,
Swisshelm Park,Downtown,keeps,5.53,3,2,1,1,P71,58,,P71,58
Swisshelm Park,Oakland,gains,5.53,3,2,0,1,,58,,,58
"Swissvale borough (Allegheny, PA)",Downtown,keeps,1049.07,62,60,5,5,61A;61B;P1;P7;P71,52L;58;60X;62X;P1,P1,61A;61B;P7;P71,52L;58;60X;62X
"Swissvale borough (Allegheny, PA)",Oakland,keeps,1049.07,62,60,3,4,61A;61B;P3,58;60X;62X;P3,P3,61A;61B,58;60X;62X
"Tarentum borough (Allegheny, PA)",Downtown,keeps,93.62,30,24,2,1,1;P10,1L,,1;P10,1L
"Tarentum borough (Allegheny, PA)",Oakland,none either way,93.62,30,24,0,0,,,,,
Terrace Village,Downtown,keeps,295.4,36,35,3,3,81;82;83,82;83;84,82;83,81,84
Terrace Village,Oakland,keeps,295.4,36,35,3,4,81;82;83,81;82;83;84,81;82;83,,84
"Trafford borough (Allegheny, PA)",Downtown,loses,0.05,1,0,2,0,69;P69,,,69;P69,
"Trafford borough (Allegheny, PA)",Oakland,loses,0.05,1,0,1,0,69,,,69,
"Trafford borough (Westmoreland, PA)",Downtown,loses,15.19,7,0,2,0,69;P69,,,69;P69,
"Trafford borough (Westmoreland, PA)",Oakland,loses,15.19,7,0,1,0,69,,,69,
Troy Hill,Downtown,keeps,98.92,31,27,3,3,1;2;4,2L;4;5,4,1;2,2L;5
Troy Hill,Oakland,none either way,98.92,31,27,0,0,,,,,
"Turtle Creek borough (Allegheny, PA)",Downtown,keeps,144.76,36,40,3,1,69;P68;P69,69,69,P68;P69,
"Turtle Creek borough (Allegheny, PA)",Oakland,loses,144.76,36,40,1,0,69,,,69,
Upper Hill,Downtown,keeps,168.44,22,20,2,3,82;83,82;83;84,82;83,,84
Upper Hill,Oakland,keeps,168.44,22,20,2,3,82;83,82;83;84,82;83,,84
Upper Lawrenceville,Downtown,keeps,249.06,24,24,2,2,87;91,91;92,91,87,92
Upper Lawrenceville,Oakland,keeps,249.06,24,24,1,1,93,81,,93,81
"Upper St. Clair township (Allegheny, PA)",Downtown,keeps,5.05,1,1,1,1,41,31,,41,31
"Upper St. Clair township (Allegheny, PA)",Oakland,none either way,5.05,1,1,0,0,,,,,
"Verona borough (Allegheny, PA)",Downtown,keeps,26.15,7,6,1,1,P78,78,,P78,78
"Verona borough (Allegheny, PA)",Oakland,none either way,26.15,7,6,0,0,,,,,
"Versailles borough (Allegheny, PA)",Downtown,loses,10.44,16,15,1,0,P76,,,P76,
"Versailles borough (Allegheny, PA)",Oakland,none either way,10.44,16,15,0,0,,,,,
West End,Downtown,keeps,59.91,11,11,5,5,26;27;29;31;38,26;27;29;31;38,26;27;29;31;38,,
West End,Oakland,none either way,59.91,11,11,0,0,,,,,
"West Homestead borough (Allegheny, PA)",Downtown,loses,85.9,4,4,1,0,53L,,,53L,
"West Homestead borough (Allegheny, PA)",Oakland,keeps,85.9,4,4,1,1,61D,50,,61D,50
"West Mifflin borough (Allegheny, PA)",Downtown,keeps,849.47,165,145,8,6,51;52L;53L;56;61C;P7;Y47;Y49,49;51;52L;53;56;61X,51;52L;56,53L;61C;P7;Y47;Y49,49;53;61X
"West Mifflin borough (Allegheny, PA)",Oakland,keeps,849.47,165,145,2,3,56;61C,53;56;61X,56,61C,53;61X
West Oakland,Downtown,keeps,1392.15,31,23,10,10,28X;58;61A;61B;61C;67;69;71B;81;83,28X;35;60X;61X;62X;70;71X;80X;83;84,28X;83,58;61A;61B;61C;67;69;71B;81,35;60X;61X;62X;70;71X;80X;84
"West View borough (Allegheny, PA)",Downtown,keeps,311.78,46,51,2,2,13;8,13;8,13;8,,
"West View borough (Allegheny, PA)",Oakland,none either way,311.78,46,51,0,0,,,,,
Westwood,Downtown,keeps,101.95,19,19,1,1,31,31,31,,
Westwood,Oakland,none either way,101.95,19,19,0,0,,,,,
"Whitaker borough (Allegheny, PA)",Downtown,keeps,48.33,17,19,3,2,52L;61C;P7,52L;61X,52L,61C;P7,61X
"Whitaker borough (Allegheny, PA)",Oakland,keeps,48.33,17,19,1,1,61C,61X,,61C,61X
"White Oak borough (Allegheny, PA)",Downtown,keeps,7.72,10,2,2,1,56;P76,56,56,P76,
"White Oak borough (Allegheny, PA)",Oakland,keeps,7.72,10,2,1,1,56,56,56,,
"Whitehall borough (Allegheny, PA)",Downtown,keeps,250.67,91,68,6,3,51;Y1;Y45;Y46;Y47;Y49,46L;49;51,51,Y1;Y45;Y46;Y47;Y49,46L;49
"Whitehall borough (Allegheny, PA)",Oakland,none either way,250.67,91,68,0,0,,,,,
"Wilkins township (Allegheny, PA)",Downtown,keeps,61.76,17,17,2,1,67;P67,67,67,P67,
"Wilkins township (Allegheny, PA)",Oakland,loses,61.76,17,17,1,0,67,,,67,
"Wilkinsburg borough (Allegheny, PA)",Downtown,keeps,2532.19,160,139,16,13,61A;61B;67;69;86;P1;P12;P16;P17;P67;P68;P69;P7;P71;P76;P78,52L;58;60X;62X;67;69;70;73L;76L;77L;78;88;P1,67;69;P1,61A;61B;86;P12;P16;P17;P67;P68;P69;P7;P71;P76;P78,52L;58;60X;62X;70;73L;76L;77L;78;88
"Wilkinsburg borough (Allegheny, PA)",Oakland,keeps,2532.19,160,139,7,6,61A;61B;67;69;71C;71D;P3,58;60X;62X;70;72;P3,P3,61A;61B;67;69;71C;71D,58;60X;62X;70;72
"Wilmerding borough (Allegheny, PA)",Downtown,keeps,78.79,24,24,2,1,69;P69,69,69,P69,
"Wilmerding borough (Allegheny, PA)",Oakland,loses,78.79,24,24,1,0,69,,,69,
Windgap,Downtown,keeps,58.95,19,10,2,2,26;27,26;27,26;27,,
Windgap,Oakland,none either way,58.95,19,10,0,0,,,,,
