place,anchor,status,weekday_boardings,stops_now,stops_proposed,n_routes_now,n_routes_proposed,routes_now,routes_proposed,routes_kept,routes_lost,routes_gained
"Bridgeville borough (Allegheny, PA)",Oakland,none either way,66.86,27,20,0,0,,,,,
Brighton Heights,Downtown,keeps,451.21,54,57,4,4,13;16;17;19L,13;14;16;19L,13;16;19L,17,14
Brighton Heights,Oakland,none either way,451.21,54,57,0,0,,,,,
Brookline,Downtown,keeps,417.52,71,72,9,6,39;41;BLUE;SLVR;Y1;Y45;Y46;Y47;Y49,35;39;46L;49;BLUE;SILVER,39;BLUE,41;SLVR;Y1;Y45;Y46;Y47;Y49,35;46L;49;SILVER
Brookline,Oakland,gains,417.52,71,72,0,1,,35,,,35
California-Kirkbride,Downtown,keeps,228.69,18,18,4,3,13;15;16;17,13;14;16,13;16,15;17,14
California-Kirkbride,Oakland,none either way,228.69,18,18,0,0,,,,,
"Carnegie borough (Allegheny, PA)",Downtown,keeps,356.94,26,26,5,5,28X;31;G2;G3;G31,23L;25;28X;31;G1,28X;31,G2;G3;G31,23L;25;G1
"Carnegie borough (Allegheny, PA)",Oakland,keeps,356.94,26,26,1,1,28X,28X,28X,,
Carrick,Downtown,keeps,932.27,42,29,3,1,44;51;51L,51,51,44;51L,
Carrick,Oakland,gains,932.27,42,29,0,1,,45,,,45
"Castle Shannon borough (Allegheny, PA)",Downtown,keeps,157.0,6,6,1,1,RED,RED,RED,,
"Castle Shannon borough (Allegheny, PA)",Oakland,none either way,157.0,6,6,0,0,,,,,
Central Business District,Oakland,keeps,11088.21,68,61,15,14,28X;56;57;58;61A;61B;61C;65;67;69;71B;77;81;82;83,28X;35;53;56;58;60X;61X;62X;70;71X;80X;82;83;84,28X;56;58;82;83,57;61A;61B;61C;65;67;69;71B;77;81,35;53;60X;61X;62X;70;71X;80X;84
Central Lawrenceville,Downtown,keeps,388.92,30,26,3,3,87;88;91,88;91;92,88;91,87,92
Central Lawrenceville,Oakland,keeps,388.92,30,26,2,2,54;93,81;9,,54;93,81;9
Central Northside,Downtown,keeps,472.51,15,17,6,5,11;13;15;16;17;8,11;13;14;16;8,11;13;16;8,15;17,14
Central Northside,Oakland,keeps,472.51,15,17,1,1,54,54,54,,
Central Oakland,Downtown,keeps,646.19,8,6,10,8,28X;58;61A;61B;61C;67;69;71B;81;83,28X;35;60X;61X;62X;70;71X;80X,28X,58;61A;61B;61C;67;69;71B;81;83,35;60X;61X;62X;70;71X;80X
Chartiers City,Downtown,loses,20.57,6,0,1,0,27,,,27,
Chartiers City,Oakland,none either way,20.57,6,0,0,0,,,,,
Chateau,Downtown,keeps,965.18,20,6,3,4,BLUE;RED;SLVR,13;BLUE;RED;SILVER,BLUE;RED,SLVR,13;SILVER
Chateau,Oakland,keeps,965.18,20,6,1,1,54,54,54,,
"Cheswick borough (Allegheny, PA)",Downtown,keeps,31.22,12,12,2,1,1;P10,1L,,1;P10,1L
"Cheswick borough (Allegheny, PA)",Oakland,none either way,31.22,12,12,0,0,,,,,
"Churchill borough (Allegheny, PA)",Downtown,keeps,11.62,7,9,3,3,67;P16;P67,67;73L;77L,67,P16;P67,73L;77L
"Churchill borough (Allegheny, PA)",Oakland,loses,11.62,7,9,1,0,67,,,67,
"Clairton city (Allegheny, PA)",Downtown,keeps,276.91,48,48,1,1,Y46,46L,,Y46,46L
"Clairton city (Allegheny, PA)",Oakland,none either way,276.91,48,48,0,0,,,,,
"Collier township (Allegheny, PA)",Downtown,keeps,117.56,20,22,3,2,31;38;G31,31;38,31;38,G31,
"Collier township (Allegheny, PA)",Oakland,none either way,117.56,20,22,0,0,,,,,
"Coraopolis borough (Allegheny, PA)",Downtown,keeps,113.87,19,19,1,1,21,21,21,,
"Coraopolis borough (Allegheny, PA)",Oakland,none either way,113.87,19,19,0,0,,,,,
Crafton Heights,Downtown,keeps,135.45,28,30,4,4,26;27;29;31,26;27;29;31,26;27;29;31,,
Crafton Heights,Oakland,none either way,135.45,28,30,0,0,,,,,
"Crafton borough (Allegheny, PA)",Downtown,keeps,359.74,31,29,7,7,26;27;28X;29;G2;G3;G31,23L;25;26;27;28X;29;G1,26;27;28X;29,G2;G3;G31,23L;25;G1
"Crafton borough (Allegheny, PA)",Oakland,keeps,359.74,31,29,1,1,28X,28X,28X,,
Crawford-Roberts,Downtown,keeps,645.17,41,30,7,7,61A;61B;61C;71B;81;82;83,60X;61X;62X;71X;80X;82;83,82;83,61A;61B;61C;71B;81,60X;61X;62X;71X;80X
Crawford-Roberts,Oakland,keeps,645.17,41,30,7,8,61A;61B;61C;71B;81;82;83,60X;61X;62X;71X;80X;81;82;83,81;82;83,61A;61B;61C;71B,60X;61X;62X;71X;80X
"Dormont borough (Allegheny, PA)",Downtown,keeps,99.62,19,21,3,3,36;41;RED,35;36L;RED,RED,36;41,35;36L
"Dormont borough (Allegheny, PA)",Oakland,gains,99.62,19,21,0,1,,35,,,35
"Dravosburg borough (Allegheny, PA)",Downtown,keeps,31.48,6,10,1,1,56,56,56,,
"Dravosburg borough (Allegheny, PA)",Oakland,keeps,31.48,6,10,1,1,56,56,56,,
Duquesne Heights,Downtown,keeps,113.51,15,15,14,11,20;21;22;24;26;27;28X;29;31;38;40;G2;G3;G31,21;22;23L;24;25;26;27;29;31;38;40,21;22;24;26;27;29;31;38;40,20;28X;G2;G3;G31,23L;25
Duquesne Heights,Oakland,loses,113.51,15,15,1,0,28X,,,28X,
"Duquesne city (Allegheny, PA)",Downtown,keeps,538.79,81,77,3,2,52L;61C;P7,52L;61X,52L,61C;P7,61X
"Duquesne city (Allegheny, PA)",Oakland,keeps,538.79,81,77,1,1,61C,61X,,61C,61X
East Allegheny,Downtown,keeps,556.82,28,29,10,11,1;11;12;15;17;2;4;6;7;8,11;12;13;16;18;2L;4;5;6;7;8,11;12;4;6;7;8,1;15;17;2,13;16;18;2L;5
East Allegheny,Oakland,keeps,556.82,28,29,1,1,54,54,54,,
East Carnegie,Downtown,keeps,5.34,4,5,1,1,31,31,31,,
East Carnegie,Oakland,none either way,5.34,4,5,0,0,,,,,
"East Deer township (Allegheny, PA)",Downtown,keeps,19.25,18,18,2,1,1;P10,1L,,1;P10,1L
"East Deer township (Allegheny, PA)",Oakland,none either way,19.25,18,18,0,0,,,,,
