day,klass,length_m,geometry
weekday,kept,11339.4,"-80.02937,40.50878 -80.0296,40.50808 -80.03019,40.50794 -80.03028,40.50743 -80.03094,40.50698 -80.03091,40.50681 -80.03024,40.50673 -80.0301,40.50701 -80.03023,40.5079 -80.03078,40.50765 -80.03105,40.50736 -80.03125,40.5063 -80.03081,40.50549 -80.02587,40.50244 -80.02033,40.49755 -80.01892,40.49689 -80.0129,40.49483 -80.01178,40.49418 -80.01079,40.49317 -80.01021,40.492 -80.00902,40.48668 -80.0075,40.48235 -80.00734,40.48074 -80.00766,40.47733 -80.00747,40.47627 -80.00485,40.47225 -80.00034,40.46614 -79.99991,40.4653 -79.99943,40.46011 -79.99704,40.45297 -79.99699,40.45226 -79.99711,40.45173 -79.99769,40.45096 -79.99905,40.45026 -80.0064,40.44893 -80.00768,40.44848 -80.00844,40.44805 -80.00927,40.44719 -80.00961,40.44615 -80.00956,40.44544 -80.00876,40.44318 -80.0084,40.44296 -80.00771,40.44287 -80.00474,40.44346 -80.00402,40.44202 -80.0039,40.44149 -80.00376,40.44145 -79.9975,40.44305 -79.995,40.44217 -79.9939,40.44367 -79.99282,40.44357 -79.99153,40.44428"
weekday,kept,20.0,"-79.99227,40.4439 -79.99243,40.44376"
weekday,kept,57.6,"-79.99349,40.44364 -79.99384,40.44387 -79.99398,40.44374"
weekday,kept,895.4,"-80.0045,40.44352 -80.00161,40.44431 -80.00096,40.44453 -80.00088,40.44465 -80.00257,40.44951"
weekday,kept,319.5,"-80.00177,40.44972 -80.00108,40.44966 -79.99947,40.44993 -79.9982,40.45037"
weekday,kept,60.0,"-79.99785,40.45062 -79.99741,40.45104"
weekday,kept,19.7,"-80.03072,40.50758 -80.03049,40.50763"
weekday,kept,19.9,"-80.03038,40.50673 -80.03015,40.50674"
weekday,kept,59.8,"-80.03009,40.50789 -80.02963,40.50798 -80.02957,40.50815"
weekday,kept,383.5,"-80.02936,40.50885 -80.02934,40.50903 -80.02869,40.50911 -80.0284,40.50958 -80.02849,40.50992 -80.02876,40.51014 -80.02942,40.50993 -80.02935,40.50893"
weekday,kept,4063.9,"-80.00872,40.47099 -80.01375,40.47002 -80.01454,40.46919 -80.01398,40.46886 -80.01233,40.46382 -80.01236,40.46368 -80.0135,40.46345 -80.01377,40.46318 -80.01333,40.46236 -80.01377,40.46061 -80.01362,40.46048 -80.01229,40.46011 -80.01019,40.45991 -80.00985,40.46014 -80.00914,40.46107 -80.00874,40.46121 -80.00847,40.45963 -80.00781,40.45892 -80.00662,40.45545 -80.00263,40.45615 -80.0009,40.45093 -80.00286,40.45049 -80.0026,40.44962"
weekday,kept,240.0,"-80.00085,40.44458 -79.99996,40.44254"
weekday,kept,299.5,"-79.99738,40.44308 -79.99449,40.44386 -79.99403,40.44384"
weekday,kept,19.8,"-79.99403,40.44395 -79.99426,40.44395"
weekday,kept,20.0,"-80.0046,40.45589 -80.00483,40.45584"
weekday,kept,20.0,"-80.00575,40.45567 -80.00598,40.45563"
weekday,kept,2819.0,"-80.00769,40.45883 -80.00594,40.45923 -80.00406,40.45909 -80.00336,40.45916 -80.00172,40.46018 -80.00164,40.46125 -80.00255,40.4613 -80.0027,40.46086 -80.00453,40.46051 -80.00472,40.46056 -80.00524,40.46116 -80.00606,40.46359 -80.00525,40.46381 -80.00563,40.46485 -80.00526,40.46529 -80.00374,40.46577 -80.00352,40.46607 -80.0037,40.46638 -80.00562,40.46706 -80.00596,40.4675 -80.00493,40.46779 -80.00419,40.46823 -80.00414,40.4684 -80.00508,40.46939 -80.00581,40.4709 -80.00696,40.47098 -80.00739,40.47125 -80.0086,40.47101"
weekday,kept,5888.7,"-80.03041,40.5865 -80.03025,40.58674 -80.02886,40.58684 -80.02805,40.58748 -80.02738,40.58764 -80.02692,40.58757 -80.02479,40.5868 -80.02326,40.5872 -80.02284,40.58704 -80.02258,40.58675 -80.02337,40.58588 -80.02466,40.5851 -80.02994,40.58354 -80.03084,40.58334 -80.03154,40.58338 -80.03263,40.58372 -80.03289,40.584 -80.03274,40.58433 -80.03254,40.58441 -80.03208,40.58436 -80.03117,40.58379 -80.03016,40.5828 -80.02446,40.57412 -80.02359,40.57213 -80.02217,40.57215 -80.02106,40.57187 -80.02035,40.57182 -80.01641,40.57206 -80.01696,40.57361 -80.01688,40.57396 -80.01652,40.57438 -80.01615,40.57417 -80.01576,40.57435 -80.01529,40.57434 -80.01374,40.5739 -80.01281,40.57381 -80.0124,40.57365 -80.012,40.57322 -80.01134,40.5731 -80.01124,40.57239 -80.01138,40.57232 -80.01395,40.57206 -80.0163,40.57202 -80.01626,40.57012 -80.01658,40.56717"
weekday,added,578.8,"-80.01681,40.56716 -80.01869,40.56724 -80.02222,40.56823 -80.02337,40.56839"
weekday,kept,6780.1,"-80.0236,40.56843 -80.02402,40.56845 -80.02532,40.56352 -80.02531,40.56209 -80.02481,40.56052 -80.02052,40.55293 -80.01942,40.55056 -80.01886,40.55046 -80.0186,40.54979 -80.01816,40.54975 -80.01733,40.5501 -80.01786,40.55068 -80.01805,40.55138 -80.01877,40.55283 -80.01626,40.55372 -80.01645,40.55382 -80.01699,40.55481 -80.01716,40.5555 -80.01775,40.55607 -80.01816,40.5569 -80.0183,40.55704 -80.01851,40.55701 -80.0195,40.55652 -80.02026,40.55583 -80.02213,40.55334 -80.02326,40.5522 -80.0229,40.55172 -80.02326,40.55168 -80.02362,40.55146 -80.02201,40.54972 -80.02117,40.54989 -80.02044,40.54837 -80.0201,40.54814 -80.01987,40.54745 -80.01988,40.54727 -80.02025,40.54706 -80.02029,40.54689 -80.01997,40.54622 -80.02012,40.54573 -80.01929,40.5454 -80.01702,40.54588 -80.01684,40.54583 -80.0146,40.54398 -80.01304,40.54201 -80.01144,40.54273 -80.01113,40.543 -80.00953,40.5458 -80.0091,40.54623 -80.00848,40.54648 -80.00687,40.54674 -80.00642,40.54671 -80.00635,40.54655 -80.00647,40.5464 -80.00688,40.54639"
weekday,added,154.8,"-80.00687,40.54621 -80.00666,40.54572 -80.0065,40.54584 -80.00591,40.54557 -80.00573,40.54567"
weekday,kept,131.6,"-80.00559,40.54581 -80.00535,40.54621 -80.0058,40.54631 -80.00614,40.54655"
weekday,kept,20.0,"-80.01278,40.54219 -80.01298,40.5421"
weekday,kept,5732.1,"-80.01309,40.54193 -80.01235,40.54061 -80.01109,40.53678 -80.01094,40.53589 -80.01107,40.53338 -80.01046,40.53146 -80.00998,40.53064 -80.00934,40.52989 -80.00655,40.5277 -80.0057,40.52623 -80.00536,40.52176 -80.00375,40.51069 -80.00395,40.50962 -80.00448,40.50882 -80.00903,40.50503 -80.01002,40.50403 -80.01161,40.50131 -80.01273,40.49973 -80.01294,40.49922 -80.01302,40.49835 -80.01184,40.49439"
weekday,kept,4837.9,"-80.01163,40.49369 -80.01059,40.49046 -80.00922,40.48372 -80.00877,40.48332 -80.00652,40.4828 -80.00616,40.48257 -80.00587,40.48208 -80.00586,40.48173 -80.00661,40.47965 -80.00683,40.4775 -80.00664,40.47644 -80.00616,40.47562 -80.00506,40.47438 -80.00452,40.47264 -80.00423,40.47215 -80.00269,40.47105 -80.00231,40.47059 -79.99969,40.46579 -79.9991,40.46405 -79.99891,40.46274 -79.99901,40.46059 -79.99843,40.45887 -79.99846,40.4587 -79.99926,40.45836 -79.99891,40.45714 -79.99919,40.45689 -80.00262,40.45622"
weekday,kept,279.4,"-79.99917,40.45687 -79.99786,40.45726 -79.99832,40.45865"
weekday,kept,20.0,"-80.00914,40.48381 -80.00919,40.48399"
weekday,kept,59.9,"-80.00941,40.48505 -80.00951,40.48559"
weekday,kept,20.0,"-80.01179,40.49457 -80.01185,40.49474"
weekday,kept,20.0,"-80.01208,40.49562 -80.01214,40.4958"
weekday,kept,40.0,"-80.01235,40.4965 -80.01246,40.49685"
weekday,kept,20.0,"-80.01267,40.49755 -80.01272,40.49772"
weekday,kept,20.0,"-80.01154,40.50124 -80.01143,40.5014"
weekday,kept,20.0,"-80.0089,40.50502 -80.00875,40.50516"
weekday,kept,40.0,"-80.00803,40.50577 -80.00772,40.50604"
weekday,kept,20.0,"-80.00644,40.50709 -80.00627,40.50722"
weekday,kept,20.0,"-80.00495,40.50825 -80.00479,40.50838"
weekday,kept,14.2,"-80.0041,40.50908 -80.00406,40.5092"
