day,klass,length_m,geometry
weekday,kept,360.0,"-79.98404,40.36392 -79.98264,40.36537 -79.98133,40.3664"
weekday,kept,39.0,"-79.96527,40.3412 -79.96527,40.34088"
weekday,kept,59.8,"-79.94063,40.34402 -79.94019,40.34441"
weekday,kept,20.0,"-79.93977,40.34457 -79.93955,40.34464"
weekday,kept,52.7,"-79.93905,40.34852 -79.93903,40.34887 -79.93915,40.34894"
weekday,kept,60.0,"-79.94031,40.34879 -79.94102,40.34872"
weekday,kept,80.0,"-79.94289,40.34856 -79.94383,40.3485"
weekday,kept,58.4,"-79.94429,40.34854 -79.94444,40.34867 -79.94448,40.34901"
weekday,kept,20.0,"-79.94248,40.3505 -79.9423,40.35062"
weekday,kept,40.0,"-79.93688,40.35603 -79.93655,40.35629"
weekday,kept,11936.7,"-79.86107,40.35225 -79.86225,40.35219 -79.86223,40.35187 -79.86202,40.35187 -79.85119,40.35251 -79.84768,40.35282 -79.84567,40.35336 -79.84499,40.35325 -79.84311,40.35253 -79.84118,40.35316 -79.84117,40.35367 -79.84198,40.35403 -79.8424,40.35445 -79.84533,40.36033 -79.84527,40.36068 -79.84278,40.36394 -79.84218,40.36548 -79.8421,40.36656 -79.84232,40.36798 -79.8428,40.36974 -79.84357,40.37163 -79.84382,40.37186 -79.84606,40.37129 -79.84642,40.37188 -79.84662,40.37187 -79.85201,40.37055 -79.85259,40.37185 -79.84479,40.37375 -79.84629,40.37557 -79.84713,40.3762 -79.84834,40.37676 -79.85097,40.37754 -79.8536,40.37935 -79.85745,40.38296 -79.86226,40.38006 -79.86295,40.37999 -79.86409,40.38022 -79.86503,40.38025 -79.86571,40.38012 -79.86699,40.37966 -79.86769,40.3796 -79.86878,40.37991 -79.87156,40.3821 -79.87294,40.38279 -79.87431,40.38302 -79.87783,40.38301 -79.87809,40.3833 -79.8788,40.38482 -79.88026,40.38598 -79.88123,40.38912 -79.88177,40.38992 -79.8826,40.39079 -79.88361,40.39155 -79.88493,40.39191 -79.88573,40.39279 -79.88701,40.39357 -79.88779,40.39424 -79.88833,40.39458 -79.88958,40.39508 -79.89134,40.39628 -79.88515,40.39883"
weekday,added,419.8,"-79.88494,40.39891 -79.88437,40.39922 -79.88307,40.40049 -79.88115,40.40117"
weekday,kept,8555.8,"-79.88093,40.40124 -79.88062,40.40141 -79.88111,40.40222 -79.88176,40.40297 -79.88272,40.40376 -79.88275,40.40394 -79.87642,40.40924 -79.87599,40.40922 -79.87598,40.40906 -79.87679,40.40849 -79.87752,40.4092 -79.87765,40.40953 -79.87745,40.41017 -79.87667,40.41128 -79.87652,40.41199 -79.87614,40.41233 -79.87646,40.41281 -79.87667,40.4146 -79.87855,40.41471 -79.87848,40.41504 -79.87862,40.41514 -79.87926,40.41527 -79.87947,40.41499 -79.88073,40.41547 -79.88537,40.41824 -79.88597,40.41879 -79.88684,40.42007 -79.88704,40.42095 -79.88697,40.42184 -79.88473,40.42882 -79.88453,40.43079 -79.8855,40.43631 -79.88687,40.44268 -79.88745,40.4446 -79.88839,40.44644 -79.88912,40.44737 -79.89057,40.44878 -79.89192,40.44979 -79.89362,40.45075 -79.90304,40.45448 -79.90591,40.45574 -79.90797,40.45608 -79.91113,40.4573"
weekday,kept,60.0,"-79.87935,40.41495 -79.87869,40.41475"
weekday,kept,56.1,"-79.8794,40.41501 -79.87882,40.41478"
weekday,kept,40.0,"-79.87643,40.41254 -79.87649,40.41218"
weekday,kept,13.7,"-79.8775,40.41023 -79.8776,40.41013"
weekday,kept,79.4,"-79.87749,40.4095 -79.87703,40.40957 -79.87666,40.40939"
weekday,kept,54.0,"-79.88292,40.40389 -79.88295,40.40376 -79.8826,40.40352"
weekday,kept,17.9,"-79.87794,40.38296 -79.87774,40.38293"
weekday,kept,14.6,"-79.85755,40.3829 -79.85738,40.38292"
weekday,kept,536.8,"-79.85058,40.37722 -79.847,40.37324"
weekday,kept,269.4,"-79.85273,40.37181 -79.85363,40.37159 -79.85361,40.37148 -79.85264,40.37046 -79.85224,40.37048"
weekday,kept,20.0,"-79.8455,40.37131 -79.84528,40.37136"
weekday,kept,40.0,"-79.84483,40.37146 -79.84438,40.37158"
weekday,kept,20.0,"-79.84314,40.37035 -79.84307,40.37018"
weekday,kept,20.0,"-79.84283,40.36949 -79.84277,40.36931"
weekday,kept,40.0,"-79.84254,40.36843 -79.84248,40.36808"
weekday,kept,180.0,"-79.8423,40.36701 -79.84221,40.36629 -79.84232,40.3654"
weekday,kept,20.0,"-79.84307,40.36371 -79.84318,40.36355"
weekday,kept,279.2,"-79.84251,40.35452 -79.84283,40.35429 -79.84544,40.35345"
weekday,kept,118.0,"-79.85971,40.35219 -79.85975,40.35235 -79.86093,40.35226"
weekday,kept,14595.1,"-79.93849,40.34492 -79.93836,40.34505 -79.93838,40.34666 -79.93729,40.34732 -79.93191,40.34786 -79.93003,40.34782 -79.92958,40.34792 -79.92924,40.34817 -79.92679,40.34683 -79.92614,40.34608 -79.92594,40.34617 -79.92496,40.3454 -79.92377,40.34481 -79.92142,40.34398 -79.92025,40.34388 -79.91884,40.34393 -79.91814,40.34387 -79.91749,40.34364 -79.91739,40.34334 -79.9168,40.34315 -79.91558,40.3423 -79.91471,40.34048 -79.91287,40.34059 -79.91036,40.34109 -79.9103,40.34122 -79.91046,40.34211 -79.91174,40.3422 -79.91231,40.34298 -79.91232,40.3437 -79.91215,40.34421 -79.91237,40.34427 -79.91283,40.34292 -79.91197,40.34087 -79.91203,40.34076 -79.91341,40.34052 -79.91475,40.34055 -79.91531,40.34192 -79.91505,40.34215 -79.91516,40.3423 -79.91558,40.34245 -79.91664,40.34317 -79.91696,40.34361 -79.91894,40.34394 -79.92035,40.34389 -79.92152,40.34399 -79.92386,40.34484 -79.92521,40.34556 -79.92599,40.34624 -79.92657,40.34702 -79.92698,40.34805 -79.92707,40.34876 -79.92709,40.3502 -79.92695,40.35029 -79.92371,40.35078 -79.92259,40.35106 -79.91454,40.35406 -79.90868,40.35849 -79.90827,40.35892 -79.90774,40.3601 -79.90761,40.36208 -79.90769,40.36333 -79.90798,40.3642 -79.90845,40.36502 -79.91031,40.36752 -79.91042,40.36804 -79.91022,40.36892 -79.9104,40.36925 -79.91269,40.36964 -79.91296,40.36982 -79.91196,40.37368 -79.91077,40.37502 -79.90732,40.37952 -79.90622,40.3815 -79.90502,40.38201 -79.90118,40.38916 -79.90031,40.39214 -79.9002,40.39357 -79.8995,40.39491 -79.89983,40.39613 -79.90168,40.39776 -79.90264,40.39736 -79.90279,40.39742 -79.90656,40.40176 -79.90907,40.40367 -79.90815,40.40442 -79.90813,40.40456 -79.9107,40.4069 -79.91086,40.40703 -79.91218,40.40602 -79.91422,40.40748"
weekday,kept,5649.7,"-79.92834,40.41969 -79.92922,40.41981 -79.92998,40.42262 -79.93025,40.4229 -79.93335,40.42421 -79.9357,40.42435 -79.93658,40.4241 -79.93704,40.42413 -79.93759,40.42446 -79.93798,40.4249 -79.93845,40.42592 -79.93901,40.42623 -79.93971,40.4262 -79.94353,40.4253 -79.94471,40.42539 -79.94583,40.42514 -79.94653,40.42515 -79.94975,40.42567 -79.9509,40.42546 -79.95189,40.42497 -79.95304,40.42501 -79.95554,40.42783 -79.95804,40.43023 -79.95918,40.43113 -79.96207,40.43268 -79.96764,40.43504 -79.97011,40.43564 -79.97317,40.43584 -79.9767,40.43565 -79.9811,40.435 -79.98345,40.43508"
weekday,kept,40.0,"-79.98413,40.43493 -79.98459,40.43484"
weekday,kept,40.0,"-79.98528,40.43471 -79.98574,40.43464"
weekday,kept,200.0,"-79.98762,40.4345 -79.98997,40.4345"
weekday,kept,19.9,"-79.99185,40.43465 -79.99208,40.43467"
weekday,kept,120.0,"-80.00056,40.43792 -80.00183,40.43839"
weekday,kept,20.0,"-79.98352,40.43499 -79.98328,40.43499"
weekday,kept,119.5,"-79.98257,40.43495 -79.98118,40.43499"
weekday,kept,180.0,"-79.91651,40.40923 -79.91501,40.40809"
weekday,kept,20.0,"-79.90768,40.40263 -79.90751,40.40251"
weekday,kept,20.0,"-79.91549,40.35373 -79.9157,40.35366"
weekday,kept,20.0,"-79.92546,40.35056 -79.92569,40.35052"
weekday,kept,19.6,"-79.91744,40.34345 -79.91735,40.34329"
weekday,kept,18.9,"-79.91533,40.34199 -79.91512,40.34205"
weekday,kept,636.7,"-79.9623,40.42423 -79.96245,40.42409 -79.96262,40.42417 -79.96687,40.42702 -79.96818,40.42741"
weekday,kept,774.6,"-79.94906,40.44707 -79.95195,40.45179 -79.95193,40.45192 -79.94996,40.45251"
weekday,kept,6711.2,"-79.94736,40.45331 -79.94777,40.45472 -79.94737,40.4583 -79.94601,40.45996 -79.94607,40.46009 -79.95289,40.46361 -79.96185,40.46207 -79.96697,40.4616 -79.96705,40.4615 -79.96553,40.45848 -79.96532,40.45842 -79.96514,40.45852 -79.965,40.45886 -79.96479,40.45893 -79.96459,40.45886 -79.96382,40.45776 -79.96494,40.45685 -79.97069,40.45649 -79.9718,40.45619 -79.97296,40.45566 -79.97394,40.45644 -79.97439,40.45644 -79.97475,40.45622 -79.97507,40.45622 -79.98434,40.44983 -79.98689,40.44823 -79.9938,40.45413 -79.99431,40.45472"
weekday,kept,139.3,"-80.00662,40.45528 -80.00617,40.45408"
weekday,kept,436.1,"-80.01414,40.45241 -80.01872,40.45155 -80.01888,40.45146 -80.01883,40.45129"
weekday,added,120.0,"-80.01877,40.45112 -80.01843,40.45007"
weekday,kept,720.0,"-80.01837,40.44989 -80.01751,40.44691 -80.01755,40.44679 -80.01943,40.44666 -80.01986,40.44671 -80.0201,40.44741 -80.01909,40.44755"
weekday,kept,214.4,"-80.01893,40.44762 -80.01897,40.4478 -80.02011,40.44776 -80.02078,40.44787 -80.02099,40.44759"
weekday,added,79.6,"-80.02093,40.44741 -80.0208,40.44707 -80.02048,40.44681"
weekday,kept,20.0,"-80.02026,40.44674 -80.02004,40.44668"
weekday,kept,19.9,"-80.00647,40.4551 -80.00653,40.45527"
weekday,kept,317.5,"-79.96752,40.45677 -79.96433,40.45825"
weekday,kept,770.4,"-79.96829,40.42765 -79.96799,40.42833 -79.9658,40.42773 -79.96346,40.42623 -79.96282,40.42605 -79.96178,40.42532 -79.96151,40.42503 -79.96154,40.42489"
weekday,kept,1136.7,"-79.9516,40.34641 -79.9537,40.3432 -79.95409,40.34034 -79.95405,40.34019 -79.95305,40.33971 -79.95206,40.33895 -79.9511,40.33843 -79.9515,40.33777"
weekday,kept,12633.0,"-79.94215,40.32114 -79.94059,40.32271 -79.94036,40.32359 -79.9391,40.3263 -79.9382,40.32866 -79.93721,40.33009 -79.93707,40.3308 -79.93677,40.33128 -79.93547,40.332 -79.93402,40.3324 -79.93329,40.33176 -79.93268,40.33201 -79.93092,40.33152 -79.93024,40.33166 -79.92767,40.33256 -79.92697,40.33253 -79.92655,40.33237 -79.92529,40.33108 -79.92385,40.33048 -79.92326,40.32999 -79.92283,40.32991 -79.92251,40.32998 -79.92521,40.33104 -79.92571,40.33142 -79.92631,40.33219 -79.92711,40.33255 -79.92781,40.33254 -79.93082,40.33152 -79.93257,40.33202 -79.9332,40.33184 -79.93196,40.33046 -79.93182,40.32993 -79.93184,40.32868 -79.93154,40.328 -79.93002,40.3264 -79.92784,40.32534 -79.92736,40.32495 -79.92704,40.32447 -79.9264,40.3226 -79.9285,40.3224 -79.93017,40.32307 -79.9304,40.32306 -79.93137,40.32194 -79.93131,40.32087 -79.93144,40.32073 -79.93336,40.32004 -79.93331,40.31953 -79.93397,40.31858 -79.93385,40.31823 -79.93294,40.31783 -79.93299,40.31798 -79.93394,40.31847 -79.93329,40.31959 -79.93336,40.31994 -79.93329,40.32007 -79.93139,40.32077 -79.93134,40.322 -79.93045,40.32305 -79.93001,40.32301 -79.92856,40.32241 -79.92646,40.3226 -79.92572,40.32195 -79.92382,40.32069 -79.92158,40.31846 -79.91757,40.31596 -79.91716,40.31532 -79.91651,40.31165 -79.91548,40.31006 -79.91352,40.30912 -79.90937,40.30673 -79.90857,40.30648 -79.90763,40.30644 -79.90425,40.30707 -79.90144,40.307 -79.89867,40.30744 -79.89777,40.30725 -79.89622,40.30643 -79.89548,40.30576 -79.89526,40.30488 -79.89535,40.30453 -79.89602,40.30403 -79.89633,40.30355 -79.89645,40.30249 -79.89611,40.30183 -79.89503,40.30044 -79.89413,40.29858 -79.89368,40.29501 -79.89341,40.29472 -79.89217,40.29421 -79.88879,40.29354"
weekday,kept,9180.3,"-79.87484,40.29238 -79.87469,40.2929 -79.87458,40.2947 -79.87481,40.2972 -79.87514,40.29806 -79.87813,40.30234 -79.87889,40.30302 -79.87964,40.30346 -79.88276,40.30472 -79.88614,40.30681 -79.89004,40.30898 -79.89099,40.30977 -79.891,40.31011 -79.88827,40.31181 -79.88543,40.31468 -79.88545,40.3148 -79.88759,40.31554 -79.88869,40.31622 -79.89031,40.31789 -79.8913,40.32095 -79.89147,40.32104 -79.89231,40.32106 -79.8924,40.32117 -79.89253,40.33089 -79.89013,40.33672 -79.88773,40.34042 -79.88581,40.34247 -79.88195,40.34586 -79.87819,40.34832 -79.87701,40.34892 -79.87429,40.34999 -79.8736,40.35011 -79.87148,40.35004 -79.86777,40.35118 -79.86218,40.35185"
weekday,kept,20.0,"-79.85971,40.35213 -79.85973,40.35231"
weekday,kept,379.9,"-79.88204,40.34589 -79.88246,40.34573 -79.884,40.34461 -79.88508,40.34344"
weekday,kept,60.0,"-79.88534,40.34314 -79.88568,40.34266"
weekday,kept,99.8,"-79.89252,40.33087 -79.89253,40.32997"
weekday,kept,36.4,"-79.89247,40.3228 -79.89242,40.32247"
weekday,kept,20.0,"-79.8919,40.32105 -79.89166,40.32106"
weekday,kept,20.0,"-79.88842,40.31599 -79.88824,40.31587"
weekday,kept,19.9,"-79.88562,40.31472 -79.88553,40.31455"
weekday,kept,78.8,"-79.89099,40.31013 -79.89133,40.3099 -79.89102,40.30963"
weekday,kept,39.9,"-79.8907,40.30937 -79.89034,40.30914"
weekday,kept,17.8,"-79.8746,40.29489 -79.87463,40.29473"
weekday,kept,19.9,"-79.89649,40.30275 -79.89649,40.30293"
weekday,kept,27.8,"-79.89523,40.30457 -79.89515,40.30479"
weekday,kept,20.0,"-79.91711,40.31506 -79.91714,40.31524"
weekday,kept,20.0,"-79.93659,40.33141 -79.93676,40.33129"
weekday,kept,20.0,"-79.95137,40.33775 -79.95127,40.33791"
weekday,kept,18.1,"-79.95106,40.33823 -79.95099,40.33839"
weekday,kept,15.4,"-79.93307,40.31783 -79.93291,40.31789"
weekday,kept,2379.7,"-79.82913,40.34325 -79.83426,40.34985 -79.83443,40.35037 -79.83393,40.35249 -79.83463,40.35458 -79.83522,40.35514 -79.83625,40.35447 -79.83762,40.353 -79.83816,40.35266 -79.83884,40.35255 -79.84239,40.35254 -79.84387,40.35295 -79.84398,40.35269"
weekday,kept,188.8,"-79.84361,40.35247 -79.84283,40.35209 -79.84239,40.35249 -79.84294,40.35266"
weekday,kept,179.6,"-79.84336,40.35282 -79.84482,40.3534 -79.84529,40.35343"
weekday,kept,3653.6,"-79.88323,40.3449 -79.88371,40.34452 -79.88437,40.34461 -79.89034,40.34751 -79.89263,40.34955 -79.89601,40.35081 -79.89684,40.35229 -79.89693,40.35408 -79.89719,40.35532 -79.89756,40.35577 -79.89796,40.35596 -79.89936,40.35605 -79.89978,40.3559 -79.90134,40.3539 -79.90203,40.35276 -79.90239,40.35253 -79.90374,40.35224 -79.90583,40.3525 -79.90698,40.35233 -79.90806,40.35197 -79.90853,40.352 -79.9089,40.35221 -79.90948,40.35299 -79.90998,40.35336 -79.91207,40.35419 -79.91371,40.35424 -79.91386,40.35434"
weekday,kept,7480.9,"-79.91309,40.36977 -79.91501,40.3711 -79.91754,40.37242 -79.92012,40.37398 -79.92068,40.37516 -79.92061,40.37641 -79.92074,40.37712 -79.92121,40.37773 -79.92233,40.37839 -79.92567,40.37971 -79.92927,40.38255 -79.93132,40.38377 -79.93177,40.38417 -79.93199,40.38468 -79.93202,40.38664 -79.93264,40.38673 -79.93253,40.38889 -79.9328,40.38976 -79.93336,40.38985 -79.93353,40.39073 -79.93438,40.39159 -79.93468,40.39207 -79.93574,40.39975 -79.93606,40.4 -79.93814,40.40027 -79.94093,40.40193 -79.94192,40.40293 -79.94238,40.40394 -79.94406,40.40992 -79.94503,40.41194 -79.9453,40.41317 -79.94865,40.4197 -79.95202,40.42484"
weekday,kept,59.8,"-79.95272,40.42483 -79.95201,40.42481"
weekday,kept,20.0,"-79.9358,40.39962 -79.93575,40.39945"
weekday,kept,80.0,"-79.93554,40.39784 -79.93545,40.39712"
weekday,kept,60.0,"-79.93522,40.39534 -79.93515,40.3948"
weekday,kept,80.0,"-79.93497,40.39337 -79.93487,40.39265"
weekday,kept,314.8,"-79.93475,40.39176 -79.93446,40.3898 -79.93436,40.38969 -79.93342,40.38977"
weekday,kept,139.7,"-79.93212,40.38436 -79.93194,40.38384 -79.93114,40.38349"
weekday,kept,19.9,"-79.91512,40.37116 -79.91494,40.37105"
weekday,kept,19.6,"-79.91389,40.35442 -79.9138,40.35426"
weekday,kept,20.0,"-79.89131,40.34818 -79.89117,40.34803"
weekday,kept,39.5,"-79.88415,40.34444 -79.8837,40.34444"
weekday,kept,20.0,"-79.83633,40.35439 -79.83619,40.35452"
weekday,kept,19.8,"-79.83521,40.35498 -79.83499,40.35492"
weekday,kept,20.0,"-79.83251,40.34761 -79.83228,40.34765"
weekday,added,376.7,"-79.83205,40.34768 -79.83113,40.34783 -79.83068,40.34821 -79.83026,40.3481 -79.82904,40.34656"
weekday,kept,634.7,"-79.82888,40.34643 -79.82721,40.34578 -79.82603,40.34407 -79.82766,40.34394 -79.82887,40.34339"
weekday,kept,40.0,"-79.91334,40.41128 -79.91312,40.41096"
weekday,kept,217.1,"-79.91251,40.40864 -79.91095,40.40711"
weekday,kept,3257.7,"-79.92487,40.41537 -79.92493,40.41503 -79.92465,40.41474 -79.92358,40.41379 -79.92296,40.41355 -79.92246,40.41317 -79.92282,40.41176 -79.92316,40.41131 -79.92499,40.41052 -79.92544,40.41043 -79.92614,40.4105 -79.9265,40.41029 -79.92652,40.40994 -79.92582,40.40901 -79.9258,40.4083 -79.92637,40.40751 -79.9272,40.40688 -79.9274,40.40679 -79.9279,40.4071 -79.92959,40.40771 -79.92987,40.4075 -79.9297,40.4074 -79.92931,40.40756 -79.92821,40.40723 -79.92763,40.40693 -79.9275,40.40678 -79.92765,40.40668 -79.92941,40.40617 -79.9327,40.40621 -79.93331,40.40593 -79.93446,40.40504 -79.93535,40.40482 -79.93581,40.40488 -79.9404,40.40673 -79.94286,40.40612"
weekday,kept,2315.9,"-79.94482,40.41129 -79.94777,40.41069 -79.948,40.41069 -79.9481,40.41084 -79.94857,40.41186 -79.94993,40.41375 -79.95049,40.41493 -79.95075,40.41635 -79.95062,40.41778 -79.95079,40.41884 -79.95114,40.41931 -79.95353,40.42418 -79.95582,40.42646 -79.95579,40.42698 -79.95526,40.42733"
weekday,kept,20.0,"-79.95782,40.42994 -79.95801,40.42984"
weekday,added,719.8,"-79.9582,40.42973 -79.9625,40.4272 -79.96451,40.42544"
weekday,kept,20.0,"-79.95119,40.41919 -79.95108,40.41903"
weekday,kept,37.4,"-79.92981,40.40762 -79.92985,40.40746 -79.92964,40.40741"
weekday,kept,19.9,"-79.91197,40.40807 -79.91212,40.40821"
weekday,kept,39.4,"-79.91301,40.41129 -79.91271,40.41155"
weekday,kept,39.9,"-79.88741,40.44432 -79.88734,40.44396"
weekday,kept,20.0,"-79.88715,40.44326 -79.8871,40.44308"
weekday,kept,1067.4,"-79.88687,40.44278 -79.88666,40.4427 -79.8859,40.44401 -79.88602,40.44412 -79.89509,40.44713 -79.89528,40.44688"
weekday,added,779.4,"-79.89533,40.4467 -79.8973,40.44172 -79.89777,40.44033 -79.89777,40.43997"
weekday,kept,2232.6,"-79.89769,40.4398 -79.89564,40.43502 -79.89268,40.43093 -79.89157,40.42837 -79.89098,40.4274 -79.88881,40.4255 -79.88816,40.42566 -79.88706,40.42555 -79.88642,40.42746 -79.88637,40.42816"
weekday,added,193.5,"-79.88628,40.42832 -79.88618,40.42896 -79.88687,40.42903 -79.88706,40.42852"
weekday,kept,299.8,"-79.88711,40.42834 -79.88791,40.4259 -79.8881,40.4258"
weekday,kept,747.7,"-79.88866,40.42525 -79.8868,40.4234 -79.88687,40.42329 -79.89042,40.42194 -79.89103,40.42291 -79.89122,40.42285"
weekday,added,320.0,"-79.89142,40.42276 -79.8947,40.42132"
weekday,kept,594.3,"-79.8949,40.42123 -79.89767,40.41996 -79.90089,40.42147"
weekday,added,1893.9,"-79.90109,40.42156 -79.90427,40.42309 -79.90483,40.42446 -79.90614,40.42616 -79.90618,40.42651 -79.90578,40.42755 -79.90585,40.4277 -79.90653,40.42779 -79.90691,40.4276 -79.90738,40.42659 -79.90769,40.42634 -79.90886,40.42641 -79.90997,40.42613 -79.91251,40.42649 -79.91428,40.42791 -79.91473,40.428 -79.91566,40.42789"
weekday,kept,678.7,"-79.9159,40.42791 -79.91751,40.42816 -79.92328,40.42976 -79.92348,40.42969"
weekday,kept,2800.7,"-79.92931,40.41976 -79.93167,40.41989 -79.93308,40.41981 -79.93772,40.41915 -79.93983,40.41896 -79.93975,40.42702 -79.93853,40.42738 -79.93758,40.42922 -79.93797,40.42965 -79.93957,40.43071 -79.93977,40.43121 -79.93962,40.43155 -79.93837,40.43237 -79.93756,40.43273 -79.93663,40.43284 -79.9368,40.4331"
weekday,added,1698.0,"-79.93694,40.43324 -79.93747,40.43359 -79.93835,40.43384 -79.94252,40.43446 -79.94393,40.43457 -79.94509,40.43515 -79.94598,40.43538 -79.94691,40.43528 -79.94829,40.43463 -79.95179,40.43423 -79.95458,40.43458 -79.9559,40.43497"
weekday,kept,798.7,"-79.95612,40.43504 -79.95819,40.43588 -79.96149,40.43583 -79.9636,40.43566 -79.96518,40.43599"
weekday,kept,199.9,"-79.96564,40.43608 -79.96799,40.43613"
weekday,kept,160.0,"-79.96817,40.43604 -79.96628,40.43605"
weekday,kept,20.0,"-79.9649,40.43584 -79.96467,40.43579"
weekday,added,19.7,"-79.94724,40.4351 -79.94702,40.43516"
weekday,added,19.7,"-79.91258,40.42655 -79.91239,40.42645"
weekday,added,18.9,"-79.90594,40.42774 -79.90579,40.42762"
weekday,added,19.9,"-79.90573,40.42541 -79.90567,40.42524"
weekday,added,39.1,"-79.90541,40.42495 -79.90504,40.42474"
weekday,kept,40.0,"-79.89762,40.41995 -79.89722,40.41976"
weekday,added,578.2,"-79.89702,40.41966 -79.89662,40.41947 -79.89642,40.41952 -79.89099,40.42169"
weekday,kept,40.0,"-79.89077,40.42177 -79.89035,40.42193"
weekday,kept,119.2,"-79.8878,40.42461 -79.88727,40.42496 -79.88709,40.42547"
weekday,added,57.6,"-79.88608,40.42894 -79.88605,40.4291 -79.88652,40.42906"
weekday,kept,19.9,"-79.88867,40.42568 -79.8889,40.4257"
weekday,kept,39.0,"-79.88755,40.44459 -79.88712,40.44446"
weekday,kept,99.3,"-79.88699,40.44412 -79.88686,40.44377 -79.88625,40.44353"
weekday,kept,19.0,"-79.88645,40.44306 -79.88663,40.44296"
weekday,kept,20.0,"-79.88694,40.44337 -79.88699,40.44354"
weekday,kept,1019.4,"-79.93898,40.34857 -79.93849,40.34891 -79.92729,40.35025"
weekday,kept,20.0,"-79.89082,40.3477 -79.89065,40.34757"
weekday,kept,2985.3,"-79.84945,40.37099 -79.84788,40.36723 -79.8479,40.36651 -79.84775,40.36599 -79.84697,40.36468 -79.85044,40.3633 -79.85471,40.36226 -79.85872,40.36208 -79.85928,40.36562 -79.85801,40.36591 -79.85533,40.36794 -79.85352,40.36982 -79.85258,40.37037"
weekday,kept,1710.1,"-79.8576,40.38311 -79.85839,40.38349 -79.86267,40.38498 -79.86315,40.38462 -79.86716,40.38271 -79.86847,40.38234 -79.86867,40.38236 -79.86865,40.38271 -79.86701,40.38399 -79.867,40.38412 -79.86749,40.38449 -79.8687,40.38365 -79.86876,40.38352 -79.86827,40.38313 -79.86881,40.38232"
weekday,added,219.2,"-79.86905,40.38231 -79.87159,40.38265"
weekday,kept,59.9,"-79.87182,40.38269 -79.87252,40.38268"
weekday,kept,6187.2,"-79.87803,40.38356 -79.87421,40.3845 -79.87382,40.38469 -79.87378,40.38486 -79.87522,40.38828 -79.87578,40.39001 -79.88072,40.39613 -79.88112,40.39621 -79.8828,40.39555 -79.88322,40.39557 -79.88486,40.39796 -79.8849,40.39809 -79.88421,40.39801 -79.88214,40.39717 -79.88124,40.39731 -79.8808,40.39772 -79.88118,40.3978 -79.88103,40.39748 -79.88116,40.39735 -79.88205,40.39716 -79.88272,40.39733 -79.88413,40.39798 -79.88499,40.39817 -79.88546,40.39879 -79.88832,40.40165 -79.89015,40.4033 -79.89123,40.40489 -79.89166,40.40532 -79.89259,40.40586 -79.89411,40.40636 -79.89446,40.4066 -79.89473,40.40727 -79.89425,40.40828 -79.89434,40.40839 -79.89675,40.40913 -79.89862,40.40928 -79.90733,40.4088 -79.90925,40.40783 -79.90795,40.40634"
weekday,added,175.4,"-79.90782,40.40619 -79.90751,40.40575 -79.90868,40.40515"
weekday,kept,18.4,"-79.88496,40.39813 -79.88476,40.39809"
weekday,kept,20.0,"-79.86267,40.38491 -79.86246,40.38484"
weekday,kept,393.8,"-79.84835,40.3684 -79.84744,40.3686 -79.84737,40.36871 -79.84844,40.37128"
weekday,kept,40.0,"-79.92729,40.35035 -79.92775,40.3503"
weekday,kept,40.0,"-79.92915,40.35012 -79.92962,40.35007"
weekday,kept,40.0,"-79.93078,40.34992 -79.93125,40.34987"
weekday,kept,40.0,"-79.93265,40.3497 -79.93312,40.34964"
weekday,kept,40.0,"-79.93475,40.34945 -79.93522,40.3494"
weekday,kept,20.0,"-79.93685,40.34921 -79.93708,40.34918"
weekday,kept,40.0,"-79.93848,40.34902 -79.93895,40.34897"
weekday,kept,529.8,"-80.00749,40.52687 -80.00704,40.52532 -80.00703,40.5246 -80.00628,40.52329 -80.00594,40.52318 -80.00572,40.52248"
weekday,kept,315.5,"-80.01308,40.49849 -80.01341,40.49827 -80.01357,40.49794 -80.01347,40.49742 -80.01429,40.49654 -80.0149,40.49629"
weekday,added,179.9,"-80.01513,40.49629 -80.01712,40.49687"
weekday,kept,2314.2,"-80.01733,40.49693 -80.01885,40.49743 -80.01976,40.49823 -80.02022,40.49824 -80.01993,40.49703 -80.02006,40.49614 -80.02106,40.49452 -80.02221,40.49363 -80.02218,40.49328 -80.02128,40.49223 -80.01999,40.49118 -80.01855,40.49026 -80.01837,40.48955 -80.01489,40.48805 -80.01115,40.4877 -80.01077,40.48749 -80.0097,40.48631"
weekday,kept,4452.0,"-80.00599,40.48236 -80.00464,40.48332 -80.00419,40.48325 -80.00309,40.48258 -80.00171,40.47991 -79.99956,40.47698 -80.00292,40.47397 -80.0029,40.47328 -80.0006,40.4733 -80.00087,40.47141 -79.99936,40.46959 -79.99919,40.46953 -79.99679,40.47027 -79.99539,40.47012 -79.99474,40.46751 -79.99384,40.46646 -79.99304,40.46618 -79.99204,40.46518 -79.99089,40.46245 -79.99319,40.46121 -79.99474,40.45962 -79.99547,40.4583 -79.99538,40.4576 -79.9947,40.4555"
weekday,kept,19.7,"-79.9954,40.45765 -79.99542,40.45783"
weekday,kept,15.5,"-80.00279,40.47322 -80.00291,40.47333"
weekday,kept,20.0,"-80.00496,40.4832 -80.0051,40.48306"
weekday,kept,219.3,"-80.01321,40.4977 -80.01228,40.49894 -80.01279,40.49928"
weekday,kept,156.1,"-80.00699,40.52827 -80.00757,40.52775 -80.00754,40.52703"
