geoid,tract_geoid,county,population,lat,lon,race_total,hispanic_or_latino,white_nh,black_nh,native_american_nh,asian_nh,pacific_islander_nh,other_race_nh,two_or_more_nh,age_total,under_18,age_65_plus,income_total,income_under_25k,income_25k_50k,income_50k_75k,income_75k_100k,income_100k_plus,vehicle_total,zero_vehicle_households,one_vehicle_households,disability_total,with_a_disability,language_total,limited_english_households,cur_week_any_minimum,prop_week_any_minimum,lost_week_any_minimum,gained_week_any_minimum,cur_weekdays_any_minimum,prop_weekdays_any_minimum,lost_weekdays_any_minimum,gained_weekdays_any_minimum,cur_weekends_any_minimum,prop_weekends_any_minimum,lost_weekends_any_minimum,gained_weekends_any_minimum,cur_week_any_hourly,prop_week_any_hourly,lost_week_any_hourly,gained_week_any_hourly,cur_weekend_any_hourly,prop_weekend_any_hourly,lost_weekend_any_hourly,gained_weekend_any_hourly,cur_weekday_trips,prop_weekday_trips,cur_saturday_trips,prop_saturday_trips,cur_sunday_trips,prop_sunday_trips,point_cur_week_any_minimum,point_prop_week_any_minimum,point_cur_weekdays_any_minimum,point_prop_weekdays_any_minimum,point_cur_weekends_any_minimum,point_prop_weekends_any_minimum,point_cur_week_any_hourly,point_prop_week_any_hourly,point_cur_weekend_any_hourly,point_prop_weekend_any_hourly,cur_week_any_minimum_150m,prop_week_any_minimum_150m,lost_week_any_minimum_150m,gained_week_any_minimum_150m,cur_weekdays_any_minimum_150m,prop_weekdays_any_minimum_150m,lost_weekdays_any_minimum_150m,gained_weekdays_any_minimum_150m,cur_weekends_any_minimum_150m,prop_weekends_any_minimum_150m,lost_weekends_any_minimum_150m,gained_weekends_any_minimum_150m,cur_week_any_hourly_150m,prop_week_any_hourly_150m,lost_week_any_hourly_150m,gained_week_any_hourly_150m,cur_weekend_any_hourly_150m,prop_weekend_any_hourly_150m,lost_weekend_any_hourly_150m,gained_weekend_any_hourly_150m
420030902002,42003090200,Allegheny,1194.0,40.469068,-79.955917,936.0,49.0,824.0,28.0,0.0,0.0,0.0,0.0,35.0,936.0,97.0,216.0,447.0,0.0,58.0,54.0,97.0,238.0,447.0,23.0,237.0,1055.34,141.78,589.42,0.0,0.9631,0.9631,0.0,0.0,0.9631,0.9631,0.0,0.0,0.9631,0.9631,0.0,0.0,0.9631,0.9631,0.0,0.0,0.9631,0.9631,0.0,0.0,248.5,261.1,166.3,221.2,130.5,161.4,1,1,1,1,1,1,1,1,1,1,0.1491,0.1491,0.0,0.0,0.1491,0.1491,0.0,0.0,0.1491,0.1491,0.0,0.0,0.1491,0.1491,0.0,0.0,0.1491,0.1491,0.0,0.0
420030902003,42003090200,Allegheny,629.0,40.466359,-79.957271,613.0,0.0,555.0,28.0,2.0,0.0,0.0,0.0,28.0,613.0,0.0,250.0,275.0,53.0,43.0,26.0,59.0,94.0,275.0,37.0,167.0,555.95,74.69,310.51,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,358.3,380.3,270.8,322.4,203.5,238.0,1,1,1,1,1,1,1,1,1,1,0.7647,0.7647,0.0,0.0,0.7647,0.7647,0.0,0.0,0.7647,0.7647,0.0,0.0,0.7647,0.7647,0.0,0.0,0.7647,0.7647,0.0,0.0
420030903001,42003090300,Allegheny,873.0,40.464216,-79.950209,492.0,17.0,425.0,0.0,0.0,50.0,0.0,0.0,0.0,492.0,10.0,134.0,322.0,70.0,70.0,54.0,45.0,83.0,322.0,90.0,175.0,784.06,74.21,448.11,6.8,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,460.3,460.9,345.6,387.1,252.6,285.8,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
420030903002,42003090300,Allegheny,668.0,40.464546,-79.95512,892.0,14.0,858.0,15.0,0.0,5.0,0.0,0.0,0.0,892.0,161.0,89.0,469.0,57.0,88.0,36.0,101.0,187.0,469.0,36.0,264.0,599.94,56.79,342.89,5.2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,448.5,463.7,336.8,390.5,248.1,286.7,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
420031005001,42003100500,Allegheny,784.0,40.476837,-79.934759,742.0,9.0,296.0,394.0,0.0,7.0,0.0,0.0,36.0,742.0,107.0,273.0,313.0,72.0,61.0,46.0,47.0,87.0,313.0,110.0,128.0,765.31,155.01,357.92,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.648,1.0,0.0,0.352,1.0,1.0,0.0,0.0,90.7,141.1,85.6,122.1,52.7,90.2,1,1,1,1,1,1,1,1,1,1,0.4464,0.4464,0.0,0.0,0.4464,0.4464,0.0,0.0,0.4464,0.4464,0.0,0.0,0.0,0.4464,0.0,0.4464,0.4464,0.4464,0.0,0.0
420031005002,42003100500,Allegheny,1229.0,40.478488,-79.939658,1274.0,63.0,439.0,691.0,0.0,26.0,0.0,0.0,55.0,1274.0,244.0,270.0,606.0,129.0,69.0,115.0,132.0,161.0,606.0,35.0,396.0,1199.69,242.99,561.08,0.0,0.8031,0.8031,0.0,0.0,0.8031,0.8031,0.0,0.0,0.8031,0.8031,0.0,0.0,0.0138,0.8031,0.0,0.7893,0.7705,0.8031,0.0,0.0325,32.3,58.3,35.9,54.7,15.5,38.0,1,1,1,1,1,1,0,1,1,1,0.2254,0.2254,0.0,0.0,0.2254,0.2254,0.0,0.0,0.2254,0.2254,0.0,0.0,0.0,0.2254,0.0,0.2254,0.2116,0.2254,0.0,0.0138
420031011001,42003101100,Allegheny,1234.0,40.479621,-79.951779,1598.0,38.0,1439.0,74.0,0.0,29.0,0.0,0.0,18.0,1598.0,161.0,149.0,653.0,41.0,71.0,40.0,106.0,395.0,653.0,35.0,354.0,1310.8,164.95,589.17,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,225.2,201.7,138.7,164.9,95.0,117.4,1,1,1,1,1,1,1,1,1,1,0.4887,0.5332,0.0,0.0446,0.4887,0.5332,0.0,0.0446,0.4887,0.5332,0.0,0.0446,0.1864,0.5332,0.0,0.3468,0.4887,0.5332,0.0,0.0446
420031011002,42003101100,Allegheny,616.0,40.481066,-79.952964,444.0,30.0,353.0,0.0,0.0,45.0,0.0,0.0,16.0,444.0,7.0,18.0,260.0,29.0,17.0,66.0,33.0,115.0,260.0,19.0,148.0,654.34,82.34,294.11,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,228.5,176.5,138.7,141.0,95.0,100.6,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
420031011003,42003101100,Allegheny,544.0,40.481283,-79.948571,507.0,0.0,485.0,0.0,0.0,22.0,0.0,0.0,0.0,507.0,9.0,110.0,230.0,0.0,12.0,102.0,49.0,67.0,230.0,7.0,103.0,577.86,72.72,259.73,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6415,1.0,0.0,0.3585,1.0,1.0,0.0,0.0,176.4,123.5,104.3,99.4,67.4,70.9,1,1,1,1,1,1,1,1,1,1,0.8493,0.8493,0.0,0.0,0.8493,0.8493,0.0,0.0,0.8493,0.8493,0.0,0.0,0.4908,0.8493,0.0,0.3585,0.8493,0.8493,0.0,0.0
420031014001,42003101400,Allegheny,1105.0,40.485751,-79.924941,1185.0,62.0,1071.0,11.0,0.0,0.0,0.0,19.0,22.0,1185.0,221.0,158.0,587.0,71.0,99.0,96.0,210.0,111.0,587.0,182.0,241.0,1094.81,142.03,496.09,5.1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,106.9,99.1,60.2,73.5,50.4,60.5,1,1,1,1,1,1,1,1,1,1,0.9014,0.9014,0.0,0.0,0.9014,0.9014,0.0,0.0,0.9014,0.9014,0.0,0.0,0.9014,0.9014,0.0,0.0,0.9014,0.9014,0.0,0.0
