current_route,draft2_route,final_route,category,related_routes,route_page
P3,P3,P3 East Busway - Oakland,Modified,N/A,https://engage.rideprt.org/buslineredesign/BLR-route-P3
G31 Bridgeville Flyer--DISCONTINUED,-,-,Discontinued,"31 , G1",https://engage.rideprt.org/buslineredesign/BLR-route-G31-discontinued
O5 Thompson Run Flyer via 279--DISCONTINUED,-,-,Discontinued,"2L , 12L",https://engage.rideprt.org/buslineredesign/BLR-route-O5-discontinued
P7 McKeesport Flyer--DISCONTINUED,-,-,Discontinued,"56 , 61X",https://engage.rideprt.org/buslineredesign/BLR-route-P7-discontinued
P17 Lincoln Park Flyer--DISCONTINUED,-,-,Discontinued,79,https://engage.rideprt.org/buslineredesign/BLR-route-P17-discontinued
P67 Monroeville Flyer--DISCONTINUED,-,-,Discontinued,67,https://engage.rideprt.org/buslineredesign/BLR-route-P67-discontinued
P69 Trafford Flyer--DISCONTINUED,-,-,Discontinued,69,https://engage.rideprt.org/buslineredesign/BLR-route-P69-discontinued
P71 Swissvale Flyer--DISCONTINUED,-,-,Discontinued,"58 , 62X , P1",https://engage.rideprt.org/buslineredesign/BLR-route-P71-discontinued
Y1 Large Flyer--DISCONTINUED,-,-,Discontinued,46L,https://engage.rideprt.org/buslineredesign/BLR-route-Y1-discontinued
Y45 Baldwin Manor Flyer--DISCONTINUED,-,-,Discontinued,46L,https://engage.rideprt.org/buslineredesign/BLR-route-Y45-discontinued
Y47 Curry Flyer--DISCONTINUED,-,-,Discontinued,"46L , 49",https://engage.rideprt.org/buslineredesign/BLR-route-Y47-discontinued
