place,anchor,geoid,lat,lon,population,headline_current_median_min,headline_current_reachable_fraction,headline_current_access_stops,headline_proposed_median_min,headline_proposed_reachable_fraction,headline_proposed_access_stops,strict_current_median_min,strict_current_reachable_fraction,strict_current_access_stops,strict_proposed_median_min,strict_proposed_reachable_fraction,strict_proposed_access_stops,change_headline_min
Allegheny Center,Downtown,420035627002,40.451882,-80.00517,1419.0,16.2,1.0,18,15.9,1.0,15,16.2,1.0,18,15.9,1.0,15,-0.3
Allegheny Center,Downtown,420035651001,40.456836,-80.010717,2972.0,21.9,1.0,14,22.0,1.0,13,21.9,1.0,14,22.0,1.0,13,0.1
Allegheny Center,Oakland,420035627002,40.451882,-80.00517,1419.0,41.1,1.0,18,37.4,1.0,15,44.1,1.0,18,39.4,1.0,15,-3.7
Allegheny Center,Oakland,420035651001,40.456836,-80.010717,2972.0,46.1,1.0,14,43.4,1.0,13,49.1,1.0,14,45.4,1.0,13,-2.7
Allegheny West,Downtown,420035627001,40.452309,-80.016453,540.0,25.0,1.0,17,23.9,1.0,10,25.0,1.0,17,23.9,1.0,10,-1.1
Allegheny West,Oakland,420035627001,40.452309,-80.016453,540.0,49.1,1.0,17,44.4,1.0,10,51.1,1.0,17,46.4,1.0,10,-4.7
Allentown,Downtown,420031803001,40.423422,-79.994066,1032.0,31.4,1.0,18,28.4,1.0,11,32.4,1.0,18,28.4,1.0,11,-3.0
Allentown,Downtown,420031803002,40.420821,-79.99289,677.0,29.4,1.0,15,28.4,1.0,13,29.4,1.0,15,28.4,1.0,13,-1.0
Allentown,Downtown,420031803003,40.419196,-79.992787,596.0,32.4,1.0,19,31.4,1.0,15,32.4,1.0,19,31.4,1.0,15,-1.0
Allentown,Oakland,420031803001,40.423422,-79.994066,1032.0,48.1,1.0,18,44.4,1.0,11,49.1,1.0,18,44.4,1.0,11,-3.7
Allentown,Oakland,420031803002,40.420821,-79.99289,677.0,46.1,1.0,15,44.4,1.0,13,47.1,1.0,15,44.4,1.0,13,-1.7
Allentown,Oakland,420031803003,40.419196,-79.992787,596.0,47.1,1.0,19,43.4,1.0,15,47.1,1.0,19,43.4,1.0,15,-3.7
"Ambridge borough (Beaver, PA)",Downtown,420076039002,40.59357,-80.215043,1532.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Ambridge borough (Beaver, PA)",Downtown,420076040001,40.600249,-80.223333,1296.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Ambridge borough (Beaver, PA)",Downtown,420076040002,40.593663,-80.223462,1298.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Ambridge borough (Beaver, PA)",Downtown,420076041001,40.58197,-80.222733,1026.0,87.3,1.0,7,107.9,1.0,7,87.3,1.0,7,107.9,1.0,7,20.6
"Ambridge borough (Beaver, PA)",Downtown,420076041002,40.586179,-80.227289,902.0,87.3,1.0,4,107.9,1.0,4,87.3,1.0,4,107.9,1.0,4,20.6
"Ambridge borough (Beaver, PA)",Downtown,420076041003,40.587458,-80.223727,851.0,91.3,1.0,2,111.9,1.0,2,91.3,1.0,2,111.9,1.0,2,20.6
"Ambridge borough (Beaver, PA)",Downtown,420076042001,40.597264,-80.231296,950.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Ambridge borough (Beaver, PA)",Downtown,420076042002,40.590963,-80.229871,649.0,90.3,1.0,6,110.9,1.0,6,90.3,1.0,6,110.9,1.0,6,20.6
"Ambridge borough (Beaver, PA)",Downtown,420076048003,40.577867,-80.24739,2737.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Ambridge borough (Beaver, PA)",Oakland,420076039002,40.59357,-80.215043,1532.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Ambridge borough (Beaver, PA)",Oakland,420076040001,40.600249,-80.223333,1296.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Ambridge borough (Beaver, PA)",Oakland,420076040002,40.593663,-80.223462,1298.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Ambridge borough (Beaver, PA)",Oakland,420076041001,40.58197,-80.222733,1026.0,112.1,1.0,7,128.4,1.0,7,112.1,1.0,7,128.4,1.0,7,16.3
"Ambridge borough (Beaver, PA)",Oakland,420076041002,40.586179,-80.227289,902.0,112.1,1.0,4,128.4,1.0,4,112.1,1.0,4,128.4,1.0,4,16.3
"Ambridge borough (Beaver, PA)",Oakland,420076041003,40.587458,-80.223727,851.0,116.1,1.0,2,132.4,1.0,2,116.1,1.0,2,132.4,1.0,2,16.3
"Ambridge borough (Beaver, PA)",Oakland,420076042001,40.597264,-80.231296,950.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Ambridge borough (Beaver, PA)",Oakland,420076042002,40.590963,-80.229871,649.0,115.1,1.0,6,131.4,1.0,6,115.1,1.0,6,131.4,1.0,6,16.3
"Ambridge borough (Beaver, PA)",Oakland,420076048003,40.577867,-80.24739,2737.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
Arlington-Arlington Heights,Downtown,420031610001,40.414432,-79.972292,2666.0,44.4,1.0,4,39.4,1.0,4,44.4,1.0,4,40.0,1.0,4,-5.0
Arlington-Arlington Heights,Oakland,420031610001,40.414432,-79.972292,2666.0,50.1,1.0,4,43.4,1.0,4,50.1,1.0,4,43.4,1.0,4,-6.7
"Aspinwall borough (Allegheny, PA)",Downtown,420034212003,40.495067,-79.899281,300.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Aspinwall borough (Allegheny, PA)",Downtown,420034230002,40.490857,-79.899888,1032.0,50.5,1.0,6,42.7,1.0,6,50.5,1.0,6,43.4,1.0,6,-7.8
"Aspinwall borough (Allegheny, PA)",Downtown,420034230003,40.492277,-79.905382,893.0,51.5,1.0,7,43.4,1.0,7,51.5,1.0,7,43.4,1.0,7,-8.1
"Aspinwall borough (Allegheny, PA)",Downtown,420039801001,40.485757,-79.90953,8.0,,0.0,0,,0.0,1,,0.0,0,,0.0,1,
"Aspinwall borough (Allegheny, PA)",Oakland,420034212003,40.495067,-79.899281,300.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Aspinwall borough (Allegheny, PA)",Oakland,420034230002,40.490857,-79.899888,1032.0,66.1,1.0,6,50.7,1.0,6,66.1,1.0,6,51.7,1.0,6,-15.4
"Aspinwall borough (Allegheny, PA)",Oakland,420034230003,40.492277,-79.905382,893.0,67.1,1.0,7,51.7,1.0,7,67.1,1.0,7,51.8,1.0,7,-15.4
"Aspinwall borough (Allegheny, PA)",Oakland,420039801001,40.485757,-79.90953,8.0,,0.0,0,,0.0,1,,0.0,0,,0.0,1,
"Avalon borough (Allegheny, PA)",Downtown,420034323001,40.504852,-80.068226,1092.0,51.9,1.0,3,52.0,1.0,3,51.9,1.0,3,52.0,1.0,3,0.1
"Avalon borough (Allegheny, PA)",Downtown,420034323002,40.500874,-80.064363,1091.0,42.7,1.0,7,43.9,1.0,7,42.7,1.0,7,43.9,1.0,7,1.2
"Avalon borough (Allegheny, PA)",Downtown,420034324001,40.49747,-80.06393,934.0,42.9,1.0,13,43.9,1.0,13,42.9,1.0,13,43.9,1.0,13,1.0
"Avalon borough (Allegheny, PA)",Downtown,420034324002,40.500028,-80.069263,837.0,43.9,1.0,12,44.9,1.0,12,43.9,1.0,12,44.9,1.0,12,1.0
"Avalon borough (Allegheny, PA)",Downtown,420034324003,40.499499,-80.070336,808.0,43.9,1.0,11,44.9,1.0,11,43.9,1.0,11,44.9,1.0,11,1.0
"Avalon borough (Allegheny, PA)",Oakland,420034323001,40.504852,-80.068226,1092.0,76.1,1.0,3,73.4,1.0,3,82.1,1.0,3,75.4,1.0,3,-2.7
"Avalon borough (Allegheny, PA)",Oakland,420034323002,40.500874,-80.064363,1091.0,68.1,1.0,7,65.4,1.0,7,73.1,1.0,7,66.4,1.0,7,-2.7
"Avalon borough (Allegheny, PA)",Oakland,420034324001,40.49747,-80.06393,934.0,68.1,1.0,13,65.4,1.0,13,71.1,1.0,13,67.4,1.0,13,-2.7
"Avalon borough (Allegheny, PA)",Oakland,420034324002,40.500028,-80.069263,837.0,68.1,1.0,12,66.4,1.0,12,72.1,1.0,12,68.4,1.0,12,-1.7
"Avalon borough (Allegheny, PA)",Oakland,420034324003,40.499499,-80.070336,808.0,68.1,1.0,11,66.4,1.0,11,71.1,1.0,11,68.4,1.0,11,-1.7
"Baldwin borough (Allegheny, PA)",Downtown,420034754012,40.340533,-80.010423,1702.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Baldwin borough (Allegheny, PA)",Downtown,420034754013,40.331954,-80.016807,787.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Baldwin borough (Allegheny, PA)",Downtown,420034801011,40.346695,-79.990308,715.0,66.4,1.0,4,64.4,0.742,2,66.4,1.0,4,64.4,0.742,2,-2.0
"Baldwin borough (Allegheny, PA)",Downtown,420034801012,40.338029,-79.987921,1121.0,75.2,0.35,3,,0.0,0,75.2,0.35,3,,0.0,0,
"Baldwin borough (Allegheny, PA)",Downtown,420034801013,40.342579,-79.976592,1777.0,67.4,1.0,1,64.4,1.0,1,67.4,1.0,1,64.4,1.0,1,-3.0
"Baldwin borough (Allegheny, PA)",Downtown,420034801014,40.33918,-79.979573,2362.0,60.4,1.0,10,59.4,1.0,12,60.4,1.0,10,59.4,1.0,12,-1.0
"Baldwin borough (Allegheny, PA)",Downtown,420034801021,40.348829,-80.003789,1066.0,75.2,0.35,4,,0.0,0,75.2,0.35,4,,0.0,0,
"Baldwin borough (Allegheny, PA)",Downtown,420034801022,40.343742,-80.000999,1215.0,71.2,0.425,7,,0.0,0,71.2,0.425,7,,0.0,0,
"Baldwin borough (Allegheny, PA)",Downtown,420034801023,40.34212,-79.994599,840.0,72.2,0.408,8,,0.0,0,72.2,0.408,8,,0.0,0,
"Baldwin borough (Allegheny, PA)",Downtown,420034802001,40.359061,-79.961389,2253.0,82.4,1.0,4,64.4,1.0,4,82.4,1.0,4,64.4,1.0,4,-18.0
"Baldwin borough (Allegheny, PA)",Downtown,420034802002,40.352917,-79.969321,739.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Baldwin borough (Allegheny, PA)",Downtown,420034802003,40.346222,-79.966737,805.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Baldwin borough (Allegheny, PA)",Downtown,420034803001,40.400702,-79.971903,693.0,63.4,1.0,4,,0.0,0,66.4,1.0,4,,0.0,0,
"Baldwin borough (Allegheny, PA)",Downtown,420034803002,40.393196,-79.963524,1537.0,59.4,1.0,2,,0.0,0,65.4,1.0,2,,0.0,0,
"Baldwin borough (Allegheny, PA)",Downtown,420034803003,40.391078,-79.972128,1383.0,58.2,1.0,9,,0.0,0,65.4,1.0,9,,0.0,0,
"Baldwin borough (Allegheny, PA)",Downtown,420034804001,40.387025,-79.95045,1274.0,72.4,1.0,3,,0.0,0,73.4,1.0,3,,0.0,0,
"Baldwin borough (Allegheny, PA)",Downtown,420034804002,40.380963,-79.947758,1044.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Baldwin borough (Allegheny, PA)",Downtown,420034804003,40.382363,-79.962911,1574.0,75.4,1.0,1,,0.0,0,76.4,1.0,1,,0.0,0,
"Baldwin borough (Allegheny, PA)",Downtown,420034900032,40.331259,-79.993764,1228.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Baldwin borough (Allegheny, PA)",Oakland,420034754012,40.340533,-80.010423,1702.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Baldwin borough (Allegheny, PA)",Oakland,420034754013,40.331954,-80.016807,787.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Baldwin borough (Allegheny, PA)",Oakland,420034801011,40.346695,-79.990308,715.0,90.1,1.0,4,86.4,0.742,2,90.1,1.0,4,86.4,0.742,2,-3.7
"Baldwin borough (Allegheny, PA)",Oakland,420034801012,40.338029,-79.987921,1121.0,100.1,0.35,3,,0.0,0,100.1,0.35,3,,0.0,0,
"Baldwin borough (Allegheny, PA)",Oakland,420034801013,40.342579,-79.976592,1777.0,93.1,1.0,1,86.4,1.0,1,93.1,1.0,1,86.4,1.0,1,-6.7
"Baldwin borough (Allegheny, PA)",Oakland,420034801014,40.33918,-79.979573,2362.0,85.1,1.0,10,81.4,1.0,12,85.1,1.0,10,81.4,1.0,12,-3.7
"Baldwin borough (Allegheny, PA)",Oakland,420034801021,40.348829,-80.003789,1066.0,100.1,0.35,4,,0.0,0,100.1,0.35,4,,0.0,0,
"Baldwin borough (Allegheny, PA)",Oakland,420034801022,40.343742,-80.000999,1215.0,96.1,0.425,7,,0.0,0,96.1,0.425,7,,0.0,0,
"Baldwin borough (Allegheny, PA)",Oakland,420034801023,40.34212,-79.994599,840.0,97.1,0.408,8,,0.0,0,97.1,0.408,8,,0.0,0,
"Baldwin borough (Allegheny, PA)",Oakland,420034802001,40.359061,-79.961389,2253.0,103.1,1.0,4,86.4,1.0,4,103.1,1.0,4,86.4,1.0,4,-16.7
"Baldwin borough (Allegheny, PA)",Oakland,420034802002,40.352917,-79.969321,739.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Baldwin borough (Allegheny, PA)",Oakland,420034802003,40.346222,-79.966737,805.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Baldwin borough (Allegheny, PA)",Oakland,420034803001,40.400702,-79.971903,693.0,76.1,1.0,4,,0.0,0,79.1,1.0,4,,0.0,0,
"Baldwin borough (Allegheny, PA)",Oakland,420034803002,40.393196,-79.963524,1537.0,72.1,1.0,2,,0.0,0,78.1,1.0,2,,0.0,0,
"Baldwin borough (Allegheny, PA)",Oakland,420034803003,40.391078,-79.972128,1383.0,70.1,1.0,9,,0.0,0,78.1,1.0,9,,0.0,0,
"Baldwin borough (Allegheny, PA)",Oakland,420034804001,40.387025,-79.95045,1274.0,89.1,1.0,3,,0.0,0,89.1,1.0,3,,0.0,0,
"Baldwin borough (Allegheny, PA)",Oakland,420034804002,40.380963,-79.947758,1044.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Baldwin borough (Allegheny, PA)",Oakland,420034804003,40.382363,-79.962911,1574.0,92.1,1.0,1,,0.0,0,92.1,1.0,1,,0.0,0,
"Baldwin borough (Allegheny, PA)",Oakland,420034900032,40.331259,-79.993764,1228.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
Banksville,Downtown,420031916001,40.421423,-80.024377,776.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
Banksville,Downtown,420032023001,40.418663,-80.035167,818.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
Banksville,Downtown,420032023002,40.4031,-80.04573,1107.0,53.2,1.0,3,64.3,1.0,5,54.2,1.0,3,64.3,1.0,5,11.1
Banksville,Downtown,420032023003,40.40799,-80.042296,925.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
Banksville,Downtown,420034721002,40.400062,-80.038672,942.0,39.5,1.0,5,34.0,1.0,3,40.2,1.0,5,34.0,1.0,3,-5.5
Banksville,Oakland,420031916001,40.421423,-80.024377,776.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
Banksville,Oakland,420032023001,40.418663,-80.035167,818.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
Banksville,Oakland,420032023002,40.4031,-80.04573,1107.0,74.1,1.0,3,81.4,1.0,5,82.1,1.0,3,81.4,1.0,5,7.3
Banksville,Oakland,420032023003,40.40799,-80.042296,925.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
Banksville,Oakland,420034721002,40.400062,-80.038672,942.0,63.1,1.0,5,50.4,1.0,3,66.1,1.0,5,51.4,1.0,3,-12.7
Bedford Dwellings,Downtown,,40.450252,-79.973521,,36.4,1.0,7,30.4,1.0,10,36.4,1.0,7,30.4,1.0,10,-6.0
Bedford Dwellings,Oakland,,40.450252,-79.973521,,37.0,1.0,7,28.3,1.0,10,37.0,1.0,7,28.3,1.0,10,-8.7
Beechview,Downtown,420031916002,40.412883,-80.017587,765.0,36.4,1.0,4,32.0,1.0,4,36.4,1.0,4,32.0,1.0,4,-4.4
Beechview,Downtown,420031916003,40.411702,-80.020549,668.0,34.4,1.0,6,29.0,1.0,6,34.4,1.0,6,29.0,1.0,6,-5.4
Beechview,Downtown,420031916004,40.413627,-80.024495,873.0,36.5,1.0,4,32.0,1.0,4,36.5,1.0,4,32.0,1.0,4,-4.5
Beechview,Downtown,420031916005,40.411581,-80.02711,1059.0,35.5,1.0,5,31.0,1.0,5,35.5,1.0,5,31.0,1.0,5,-4.5
Beechview,Downtown,420031919003,40.39625,-80.026673,586.0,38.4,1.0,11,36.4,1.0,16,38.4,1.0,11,36.4,1.0,16,-2.0
Beechview,Downtown,420031920001,40.405959,-80.022192,682.0,51.4,1.0,4,43.6,1.0,4,51.4,1.0,4,43.6,1.0,4,-7.8
Beechview,Downtown,420031920002,40.401496,-80.025883,602.0,51.4,1.0,6,43.6,1.0,6,51.4,1.0,6,43.6,1.0,6,-7.8
Beechview,Downtown,420031920003,40.404835,-80.030501,694.0,35.5,1.0,4,30.0,1.0,4,35.5,1.0,4,30.0,1.0,4,-5.5
Beechview,Downtown,420031920004,40.40133,-80.029742,898.0,41.5,1.0,3,37.0,1.0,3,41.5,1.0,3,37.0,1.0,3,-4.5
Beechview,Downtown,420031920005,40.408476,-80.02359,579.0,36.5,1.0,8,32.0,1.0,8,36.5,1.0,8,32.0,1.0,8,-4.5
Beechview,Downtown,420032023004,40.413531,-80.035579,1277.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
Beechview,Oakland,420031916002,40.412883,-80.017587,765.0,62.1,1.0,4,47.4,1.0,4,62.1,1.0,4,47.4,1.0,4,-14.7
Beechview,Oakland,420031916003,40.411702,-80.020549,668.0,58.1,1.0,6,46.4,1.0,6,59.1,1.0,6,46.4,1.0,6,-11.7
Beechview,Oakland,420031916004,40.413627,-80.024495,873.0,60.1,1.0,4,50.4,1.0,4,62.1,1.0,4,50.4,1.0,4,-9.7
Beechview,Oakland,420031916005,40.411581,-80.02711,1059.0,59.1,1.0,5,48.4,1.0,5,62.1,1.0,5,48.4,1.0,5,-10.7
Beechview,Oakland,420031919003,40.39625,-80.026673,586.0,66.1,1.0,11,51.4,1.0,16,66.1,1.0,11,51.4,1.0,16,-14.7
Beechview,Oakland,420031920001,40.405959,-80.022192,682.0,79.1,1.0,4,54.4,1.0,4,79.1,1.0,4,54.4,1.0,4,-24.7
Beechview,Oakland,420031920002,40.401496,-80.025883,602.0,79.1,1.0,6,54.4,1.0,6,79.1,1.0,6,54.4,1.0,6,-24.7
Beechview,Oakland,420031920003,40.404835,-80.030501,694.0,59.1,1.0,4,47.4,1.0,4,62.1,1.0,4,47.4,1.0,4,-11.7
Beechview,Oakland,420031920004,40.40133,-80.029742,898.0,65.1,1.0,3,54.4,1.0,3,66.1,1.0,3,54.4,1.0,3,-10.7
Beechview,Oakland,420031920005,40.408476,-80.02359,579.0,60.1,1.0,8,50.4,1.0,8,62.1,1.0,8,50.4,1.0,8,-9.7
Beechview,Oakland,420032023004,40.413531,-80.035579,1277.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Bellevue borough (Allegheny, PA)",Downtown,420034296002,40.500636,-80.04697,990.0,74.3,1.0,1,68.6,1.0,1,74.3,1.0,1,68.6,1.0,1,-5.7
"Bellevue borough (Allegheny, PA)",Downtown,420034311001,40.49298,-80.050072,1649.0,37.9,1.0,13,37.0,1.0,11,37.9,1.0,13,37.0,1.0,11,-0.9
"Bellevue borough (Allegheny, PA)",Downtown,420034311002,40.488769,-80.051658,1604.0,39.9,1.0,13,39.0,1.0,11,39.9,1.0,13,39.0,1.0,11,-0.9
"Bellevue borough (Allegheny, PA)",Downtown,420034314001,40.502381,-80.055144,1893.0,49.9,1.0,9,48.9,1.0,9,49.9,1.0,9,48.9,1.0,9,-1.0
"Bellevue borough (Allegheny, PA)",Downtown,420034315001,40.499493,-80.05879,682.0,42.3,1.0,7,42.9,1.0,7,42.3,1.0,7,42.9,1.0,7,0.6
"Bellevue borough (Allegheny, PA)",Downtown,420034315002,40.497754,-80.054112,856.0,40.3,1.0,14,40.0,1.0,14,40.3,1.0,14,40.0,1.0,14,-0.3
"Bellevue borough (Allegheny, PA)",Downtown,420034315003,40.494357,-80.056313,960.0,39.9,1.0,7,40.0,1.0,7,39.9,1.0,7,40.0,1.0,7,0.1
"Bellevue borough (Allegheny, PA)",Downtown,420034315004,40.492127,-80.058656,667.0,58.3,1.0,4,57.5,1.0,4,58.3,1.0,4,66.5,1.0,4,-0.8
"Bellevue borough (Allegheny, PA)",Oakland,420034296002,40.500636,-80.04697,990.0,99.1,1.0,1,91.4,1.0,1,101.1,1.0,1,91.4,1.0,1,-7.7
"Bellevue borough (Allegheny, PA)",Oakland,420034311001,40.49298,-80.050072,1649.0,63.1,1.0,13,60.2,1.0,11,68.1,1.0,13,60.4,1.0,11,-2.9
"Bellevue borough (Allegheny, PA)",Oakland,420034311002,40.488769,-80.051658,1604.0,65.1,1.0,13,62.4,1.0,11,68.1,1.0,13,63.4,1.0,11,-2.7
"Bellevue borough (Allegheny, PA)",Oakland,420034314001,40.502381,-80.055144,1893.0,73.1,1.0,9,72.2,1.0,9,77.1,1.0,9,72.4,1.0,9,-0.9
"Bellevue borough (Allegheny, PA)",Oakland,420034315001,40.499493,-80.05879,682.0,68.1,1.0,7,64.4,1.0,7,73.1,1.0,7,65.4,1.0,7,-3.7
"Bellevue borough (Allegheny, PA)",Oakland,420034315002,40.497754,-80.054112,856.0,65.1,1.0,14,63.4,1.0,14,70.1,1.0,14,64.4,1.0,14,-1.7
"Bellevue borough (Allegheny, PA)",Oakland,420034315003,40.494357,-80.056313,960.0,65.1,1.0,7,63.2,1.0,7,70.1,1.0,7,63.4,1.0,7,-1.9
"Bellevue borough (Allegheny, PA)",Oakland,420034315004,40.492127,-80.058656,667.0,81.1,1.0,4,79.4,1.0,4,81.1,1.0,4,86.4,1.0,4,-1.7
Beltzhoover,Downtown,420031807003,40.422831,-80.000958,790.0,30.4,1.0,28,27.0,1.0,14,30.4,1.0,28,27.4,1.0,14,-3.4
Beltzhoover,Downtown,420035624002,40.415848,-80.002736,649.0,43.4,1.0,15,36.4,1.0,14,43.4,1.0,15,36.4,1.0,14,-7.0
Beltzhoover,Downtown,420035624003,40.418947,-80.003113,955.0,31.9,1.0,27,29.4,1.0,27,32.2,1.0,27,30.4,1.0,27,-2.5
Beltzhoover,Oakland,420031807003,40.422831,-80.000958,790.0,47.1,1.0,28,43.4,1.0,14,47.1,1.0,28,43.4,1.0,14,-3.7
Beltzhoover,Oakland,420035624002,40.415848,-80.002736,649.0,49.1,1.0,15,45.4,1.0,14,52.1,1.0,15,45.4,1.0,14,-3.7
Beltzhoover,Oakland,420035624003,40.418947,-80.003113,955.0,48.1,1.0,27,44.4,1.0,27,49.1,1.0,27,44.4,1.0,27,-3.7
"Ben Avon borough (Allegheny, PA)",Downtown,420034340001,40.505874,-80.078106,923.0,51.9,1.0,10,51.9,1.0,11,51.9,1.0,10,51.9,1.0,11,0.0
"Ben Avon borough (Allegheny, PA)",Downtown,420034340002,40.507662,-80.08399,995.0,54.3,1.0,10,52.6,1.0,9,54.3,1.0,10,52.6,1.0,9,-1.7
"Ben Avon borough (Allegheny, PA)",Downtown,420035638006,40.511839,-80.073224,400.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Ben Avon borough (Allegheny, PA)",Oakland,420034340001,40.505874,-80.078106,923.0,75.1,1.0,10,73.4,1.0,11,79.1,1.0,10,74.4,1.0,11,-1.7
"Ben Avon borough (Allegheny, PA)",Oakland,420034340002,40.507662,-80.08399,995.0,78.1,1.0,10,75.4,1.0,9,78.1,1.0,10,75.4,1.0,9,-2.7
"Ben Avon borough (Allegheny, PA)",Oakland,420035638006,40.511839,-80.073224,400.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Bethel Park municipality (Allegheny, PA)",Downtown,420034741021,40.347504,-80.06835,2435.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Bethel Park municipality (Allegheny, PA)",Downtown,420034741022,40.328784,-80.065536,1466.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Bethel Park municipality (Allegheny, PA)",Downtown,420034751011,40.351605,-80.035424,922.0,54.5,1.0,2,49.4,1.0,2,54.5,1.0,2,49.4,1.0,2,-5.1
"Bethel Park municipality (Allegheny, PA)",Downtown,420034751012,40.34868,-80.030062,850.0,53.5,1.0,4,48.4,1.0,4,53.5,1.0,4,48.4,1.0,4,-5.1
"Bethel Park municipality (Allegheny, PA)",Downtown,420034751013,40.34223,-80.042704,1417.0,56.5,1.0,2,52.0,1.0,2,56.5,1.0,2,52.0,1.0,2,-4.5
"Bethel Park municipality (Allegheny, PA)",Downtown,420034751014,40.348318,-80.046898,1788.0,69.6,1.0,5,,0.0,0,71.2,1.0,5,,0.0,0,
"Bethel Park municipality (Allegheny, PA)",Downtown,420034751021,40.337353,-80.034541,1677.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Bethel Park municipality (Allegheny, PA)",Downtown,420034752002,40.335147,-80.052979,1535.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Bethel Park municipality (Allegheny, PA)",Downtown,420034752003,40.327802,-80.052621,1266.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Bethel Park municipality (Allegheny, PA)",Downtown,420034753011,40.33597,-80.027287,767.0,58.4,1.0,2,58.0,1.0,2,58.4,1.0,2,58.0,1.0,2,-0.4
"Bethel Park municipality (Allegheny, PA)",Downtown,420034753014,40.326283,-80.034928,1020.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Bethel Park municipality (Allegheny, PA)",Downtown,420034761005,40.358653,-80.033149,1377.0,48.5,1.0,3,45.0,1.0,3,48.5,1.0,3,45.0,1.0,3,-3.5
"Bethel Park municipality (Allegheny, PA)",Oakland,420034741021,40.347504,-80.06835,2435.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Bethel Park municipality (Allegheny, PA)",Oakland,420034741022,40.328784,-80.065536,1466.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Bethel Park municipality (Allegheny, PA)",Oakland,420034751011,40.351605,-80.035424,922.0,78.1,1.0,2,68.4,1.0,2,80.1,1.0,2,69.4,1.0,2,-9.7
"Bethel Park municipality (Allegheny, PA)",Oakland,420034751012,40.34868,-80.030062,850.0,77.1,1.0,4,67.4,1.0,4,79.1,1.0,4,68.4,1.0,4,-9.7
"Bethel Park municipality (Allegheny, PA)",Oakland,420034751013,40.34223,-80.042704,1417.0,80.1,1.0,2,71.4,1.0,2,82.1,1.0,2,71.4,1.0,2,-8.7
"Bethel Park municipality (Allegheny, PA)",Oakland,420034751014,40.348318,-80.046898,1788.0,91.1,1.0,5,,0.0,0,99.1,1.0,5,,0.0,0,
"Bethel Park municipality (Allegheny, PA)",Oakland,420034751021,40.337353,-80.034541,1677.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Bethel Park municipality (Allegheny, PA)",Oakland,420034752002,40.335147,-80.052979,1535.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Bethel Park municipality (Allegheny, PA)",Oakland,420034752003,40.327802,-80.052621,1266.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Bethel Park municipality (Allegheny, PA)",Oakland,420034753011,40.33597,-80.027287,767.0,81.1,1.0,2,76.4,1.0,2,83.1,1.0,2,79.4,1.0,2,-4.7
"Bethel Park municipality (Allegheny, PA)",Oakland,420034753014,40.326283,-80.034928,1020.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
