place,anchor,origin_source,origin_points,origin_population,origin_centre_lat,origin_centre_lon,dest_lat,dest_lon,headline_current_median_min,headline_current_best_min,headline_current_worst_min,headline_current_reachable_fraction,headline_current_median_transfers,headline_current_median_wait_min,headline_proposed_median_min,headline_proposed_best_min,headline_proposed_worst_min,headline_proposed_reachable_fraction,headline_proposed_median_transfers,headline_proposed_median_wait_min,strict_current_median_min,strict_current_best_min,strict_current_worst_min,strict_current_reachable_fraction,strict_current_median_transfers,strict_current_median_wait_min,strict_proposed_median_min,strict_proposed_best_min,strict_proposed_worst_min,strict_proposed_reachable_fraction,strict_proposed_median_transfers,strict_proposed_median_wait_min,headline_current_origin_coverage_fraction,headline_current_dest_access_stops,headline_proposed_origin_coverage_fraction,headline_proposed_dest_access_stops,strict_current_origin_coverage_fraction,strict_current_dest_access_stops,strict_proposed_origin_coverage_fraction,strict_proposed_dest_access_stops,headline_classification,strict_classification,change_headline_min,change_strict_min,sign_flips_between_radii,spread_headline_min
"Dormont borough (Allegheny, PA)",Oakland,residents,7,7302.0,40.393012,-80.036766,40.443719,-79.958853,68.2,49.2,126.2,0.893,1,15.2,52.2,39.2,74.2,0.893,1,9.7,68.2,54.2,126.2,0.893,1,16.1,52.2,39.2,74.2,0.893,1,9.7,0.893,14,0.893,11,0.893,14,0.893,11,comparable,comparable,-16.0,-16.0,False,14.0
"Dravosburg borough (Allegheny, PA)",Downtown,residents,2,1612.0,40.351074,-79.89035,40.440773,-79.999105,65.1,42.1,85.4,0.607,0,15.8,60.9,41.9,80.9,0.607,0,16.8,65.1,42.1,85.4,0.607,0,15.8,60.9,41.9,80.9,0.607,0,16.8,0.607,42,0.607,38,0.607,42,0.607,38,comparable,comparable,-4.2,-4.2,False,
"Dravosburg borough (Allegheny, PA)",Oakland,residents,2,1612.0,40.351074,-79.89035,40.443719,-79.958853,71.2,48.2,93.0,0.607,1,16.8,80.2,61.2,97.2,0.607,1,18.1,76.2,48.2,93.0,0.607,1,21.2,80.2,61.2,97.2,0.607,1,20.3,0.607,14,0.607,11,0.607,14,0.607,11,comparable,comparable,9.0,4.0,False,
Duquesne Heights,Downtown,residents,1,1462.0,40.437965,-80.023858,40.440773,-79.999105,51.4,33.4,72.4,1.0,0,17.2,52.4,33.3,77.4,1.0,0,18.4,51.4,33.4,72.4,1.0,0,17.2,52.4,33.3,77.4,1.0,0,18.4,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,1.0,1.0,False,
Duquesne Heights,Oakland,residents,1,1462.0,40.437965,-80.023858,40.443719,-79.958853,78.2,58.2,102.2,1.0,2,23.9,73.2,53.2,102.2,1.0,2,29.4,80.2,63.2,104.2,1.0,2,27.0,73.2,53.2,102.2,1.0,1,25.2,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-5.0,-7.0,False,
"Duquesne city (Allegheny, PA)",Downtown,residents,6,5254.0,40.371702,-79.853699,40.440773,-79.999105,63.1,47.0,114.0,1.0,1,11.4,70.5,48.7,98.5,1.0,0,7.1,63.1,47.0,114.0,1.0,1,12.7,70.5,48.7,98.5,1.0,0,7.1,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,7.4,7.4,False,16.0
"Duquesne city (Allegheny, PA)",Oakland,residents,6,5254.0,40.371702,-79.853699,40.443719,-79.958853,65.0,52.0,105.0,1.0,1,8.7,64.4,53.4,90.4,1.0,1,7.3,65.0,52.0,105.0,1.0,1,8.9,64.4,53.4,90.4,1.0,1,7.3,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-0.6,-0.6,False,13.0
East Allegheny,Downtown,residents,2,1903.0,40.45516,-79.998722,40.440773,-79.999105,20.9,14.9,33.2,1.0,0,3.1,18.9,11.3,30.0,1.0,0,2.2,20.9,14.9,33.2,1.0,0,3.1,18.9,11.3,30.0,1.0,0,2.2,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-2.0,-2.0,False,3.9
East Allegheny,Oakland,residents,2,1903.0,40.45516,-79.998722,40.443719,-79.958853,46.0,34.2,55.2,1.0,1,6.7,40.2,30.2,55.2,1.0,1,7.9,47.2,34.2,59.0,1.0,1,8.2,42.2,30.2,55.2,1.0,1,10.2,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-5.8,-5.0,False,0.8
East Carnegie,Downtown,residents,1,491.0,40.417421,-80.073069,40.440773,-79.999105,63.7,41.7,82.7,1.0,0,19.5,52.6,40.7,73.3,1.0,1,13.5,63.7,41.7,82.7,1.0,0,19.5,52.6,40.7,73.3,1.0,1,13.5,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-11.1,-11.1,False,
East Carnegie,Oakland,residents,1,491.0,40.417421,-80.073069,40.443719,-79.958853,86.2,62.2,109.2,1.0,1,25.6,70.2,52.2,93.2,1.0,1,19.7,86.2,62.2,109.2,1.0,1,25.6,70.2,52.2,93.2,1.0,1,19.7,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-16.0,-16.0,False,
