place,anchor,origin_source,origin_points,origin_population,origin_centre_lat,origin_centre_lon,dest_lat,dest_lon,headline_current_median_min,headline_current_best_min,headline_current_worst_min,headline_current_reachable_fraction,headline_current_median_transfers,headline_current_median_wait_min,headline_proposed_median_min,headline_proposed_best_min,headline_proposed_worst_min,headline_proposed_reachable_fraction,headline_proposed_median_transfers,headline_proposed_median_wait_min,strict_current_median_min,strict_current_best_min,strict_current_worst_min,strict_current_reachable_fraction,strict_current_median_transfers,strict_current_median_wait_min,strict_proposed_median_min,strict_proposed_best_min,strict_proposed_worst_min,strict_proposed_reachable_fraction,strict_proposed_median_transfers,strict_proposed_median_wait_min,headline_current_origin_coverage_fraction,headline_current_dest_access_stops,headline_proposed_origin_coverage_fraction,headline_proposed_dest_access_stops,strict_current_origin_coverage_fraction,strict_current_dest_access_stops,strict_proposed_origin_coverage_fraction,strict_proposed_dest_access_stops,headline_classification,strict_classification,change_headline_min,change_strict_min,sign_flips_between_radii,spread_headline_min
Garfield,Oakland,residents,7,5794.0,40.465723,-79.938735,40.443719,-79.958853,42.0,26.0,106.0,1.0,1,9.9,38.7,25.7,61.4,1.0,1,9.1,43.0,26.0,106.0,1.0,1,10.9,39.4,25.7,63.4,1.0,1,10.5,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-3.3,-3.6,False,31.7
"Glassport borough (Allegheny, PA)",Downtown,residents,6,5168.0,40.328058,-79.88721,40.440773,-79.999105,102.1,68.1,129.4,0.666,2,26.5,99.9,74.9,127.4,0.666,1,31.7,102.1,68.1,129.4,0.666,2,27.4,99.9,74.9,127.4,0.666,1,31.7,0.666,42,0.666,38,0.666,42,0.666,38,comparable,comparable,-2.2,-2.2,False,0.5
"Glassport borough (Allegheny, PA)",Oakland,residents,6,5168.0,40.328058,-79.88721,40.443719,-79.958853,105.0,70.0,151.2,0.666,1,30.5,110.4,78.4,136.2,0.666,1,22.7,105.0,70.0,151.2,0.666,1,32.2,110.4,78.4,136.2,0.666,1,22.7,0.666,14,0.666,11,0.666,14,0.666,11,comparable,comparable,5.4,5.4,False,5.2
Glen Hazel,Downtown,residents,1,1246.0,40.406889,-79.934116,40.440773,-79.999105,52.1,35.1,75.1,1.0,0,11.9,57.2,42.4,71.9,1.0,1,12.2,52.1,35.1,75.1,1.0,0,12.8,57.2,42.4,71.9,1.0,1,13.6,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,5.1,5.1,False,
Glen Hazel,Oakland,residents,1,1246.0,40.406889,-79.934116,40.443719,-79.958853,57.2,46.2,78.2,1.0,1,11.2,55.2,46.2,73.2,1.0,0,8.2,60.2,49.0,79.2,1.0,1,13.2,55.2,46.2,73.2,1.0,0,8.2,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-2.0,-5.0,False,
"Glen Osborne borough (Allegheny, PA)",Downtown,residents,1,590.0,40.531662,-80.167553,40.440773,-79.999105,72.3,50.3,98.3,1.0,1,27.7,89.9,61.5,120.5,1.0,0,29.6,72.3,50.3,98.3,1.0,1,27.7,89.9,61.5,120.5,1.0,0,29.6,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,17.6,17.6,False,
"Glen Osborne borough (Allegheny, PA)",Oakland,residents,1,590.0,40.531662,-80.167553,40.443719,-79.958853,96.2,75.2,122.2,1.0,2,34.3,109.2,80.2,139.2,1.0,1,36.8,96.2,75.2,122.2,1.0,2,33.2,109.2,80.2,139.2,1.0,2,37.4,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,13.0,13.0,False,
"Glenfield borough (Allegheny, PA)",Downtown,residents,1,212.0,40.519402,-80.132093,40.440773,-79.999105,67.3,46.3,94.3,1.0,1,25.7,81.9,53.5,112.5,1.0,0,29.4,67.3,46.3,94.3,1.0,1,25.7,81.9,53.5,112.5,1.0,0,29.4,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,14.6,14.6,False,
"Glenfield borough (Allegheny, PA)",Oakland,residents,1,212.0,40.519402,-80.132093,40.443719,-79.958853,91.2,71.2,118.2,1.0,2,32.3,101.2,72.2,131.2,1.0,1,36.7,91.2,71.2,118.2,1.0,2,31.5,101.2,72.2,131.2,1.0,2,37.3,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,10.0,10.0,False,
"Green Tree borough (Allegheny, PA)",Downtown,residents,4,5966.0,40.417978,-80.054068,40.440773,-79.999105,48.2,25.2,70.5,0.164,1,18.8,42.3,28.3,57.3,0.164,0,9.5,48.2,25.2,70.5,0.164,1,18.8,42.3,28.3,57.3,0.164,0,9.5,0.336,42,0.336,38,0.336,42,0.336,38,comparable,comparable,-5.9,-5.9,False,
"Green Tree borough (Allegheny, PA)",Oakland,residents,4,5966.0,40.417978,-80.054068,40.443719,-79.958853,68.2,45.2,95.2,0.164,1,22.3,65.2,50.2,79.2,0.164,1,23.5,70.2,47.2,98.2,0.164,2,27.0,65.2,50.2,79.2,0.164,1,24.0,0.336,14,0.336,11,0.336,14,0.336,11,comparable,comparable,-3.0,-5.0,False,
Greenfield,Downtown,residents,11,9171.0,40.422945,-79.935363,40.440773,-79.999105,36.1,16.1,66.1,0.998,0,8.7,39.9,19.9,86.9,0.886,0,7.7,36.1,16.1,66.1,0.998,0,9.2,39.9,19.9,86.9,0.886,0,8.2,0.998,42,0.886,38,0.998,42,0.886,38,comparable,comparable,3.8,3.8,False,18.6
Greenfield,Oakland,residents,11,9171.0,40.422945,-79.935363,40.443719,-79.958853,36.2,18.2,70.2,0.998,0,5.5,38.4,23.4,84.4,0.886,1,8.9,37.0,18.2,75.2,0.998,0,5.9,40.2,23.4,84.4,0.886,1,10.5,0.998,14,0.886,11,0.998,14,0.886,11,comparable,comparable,2.2,3.2,False,22.8
"Hampton township (Allegheny, PA)",Downtown,residents,3,4345.0,40.560056,-79.980632,40.440773,-79.999105,82.9,49.2,119.9,0.395,0,27.1,63.3,47.3,86.3,0.192,0,16.6,82.9,49.2,119.9,0.395,0,27.1,63.3,47.3,86.3,0.192,0,16.6,0.395,42,0.235,38,0.395,42,0.235,38,comparable,comparable,-19.6,-19.6,False,
"Hampton township (Allegheny, PA)",Oakland,residents,3,4345.0,40.560056,-79.980632,40.443719,-79.958853,107.2,76.2,140.2,0.395,1,33.3,83.4,63.2,106.4,0.192,1,23.5,107.2,76.2,140.2,0.395,1,32.9,83.4,63.2,106.4,0.192,1,25.7,0.395,14,0.235,11,0.395,14,0.235,11,comparable,comparable,-23.8,-23.8,False,
"Harmar township (Allegheny, PA)",Downtown,residents,4,4363.0,40.537988,-79.842395,40.440773,-79.999105,72.0,48.7,101.9,0.175,0,15.9,79.4,61.4,107.5,0.175,0,12.9,72.0,48.7,101.9,0.175,0,15.9,79.7,61.4,107.7,0.175,0,13.3,0.175,42,0.175,38,0.175,42,0.175,38,comparable,comparable,7.4,7.7,False,
"Harmar township (Allegheny, PA)",Oakland,residents,4,4363.0,40.537988,-79.842395,40.443719,-79.958853,85.0,60.0,126.0,0.175,2,23.9,78.4,63.4,108.4,0.175,1,16.5,85.0,61.0,126.0,0.175,2,25.6,80.4,63.4,108.4,0.175,1,16.5,0.175,14,0.175,11,0.175,14,0.175,11,comparable,comparable,-6.6,-4.6,False,
"Harrison township (Allegheny, PA)",Downtown,residents,11,10157.0,40.627345,-79.722377,40.440773,-79.999105,91.7,75.0,104.7,0.087,1,16.0,171.5,104.4,235.5,0.736,2,53.0,91.7,75.0,104.7,0.087,1,16.0,171.7,104.4,236.7,0.736,2,58.7,0.522,42,0.736,38,0.522,42,0.736,38,comparable,comparable,79.8,80.0,False,8.0
"Harrison township (Allegheny, PA)",Oakland,residents,11,10157.0,40.627345,-79.722377,40.443719,-79.958853,103.0,86.0,116.0,0.087,1,17.0,166.4,106.4,224.4,0.736,2,49.0,104.0,87.0,117.0,0.087,1,21.6,169.4,106.4,230.4,0.736,2,55.3,0.522,14,0.736,11,0.522,14,0.736,11,comparable,comparable,63.4,65.4,False,8.0
Hays,Downtown,residents,1,1238.0,40.385747,-79.924376,40.440773,-79.999105,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,42,0.0,38,0.0,42,0.0,38,no_origin_coverage,no_origin_coverage,,,,
Hays,Oakland,residents,1,1238.0,40.385747,-79.924376,40.443719,-79.958853,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,14,0.0,11,0.0,14,0.0,11,no_origin_coverage,no_origin_coverage,,,,
"Haysville borough (Allegheny, PA)",Downtown,residents,2,1906.0,40.532883,-80.149003,40.440773,-79.999105,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,0.042,42,0.042,38,0.042,42,0.042,38,no_journey,no_journey,,,,
"Haysville borough (Allegheny, PA)",Oakland,residents,2,1906.0,40.532883,-80.149003,40.443719,-79.958853,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,0.042,14,0.042,11,0.042,14,0.042,11,no_journey,no_journey,,,,
Hazelwood,Downtown,residents,3,4333.0,40.412779,-79.931257,40.440773,-79.999105,35.1,24.1,52.1,0.563,0,7.8,37.9,21.9,52.9,0.563,0,9.7,35.1,24.1,52.1,0.563,0,7.9,37.9,21.9,52.9,0.563,0,9.7,0.563,42,0.563,38,0.563,42,0.563,38,comparable,comparable,2.8,2.8,False,0.0
Hazelwood,Oakland,residents,3,4333.0,40.412779,-79.931257,40.443719,-79.958853,42.0,26.2,60.2,0.563,1,8.9,44.2,35.2,64.2,0.563,1,9.0,46.2,26.2,67.0,0.563,1,9.9,44.2,35.2,64.2,0.563,1,9.0,0.563,14,0.563,11,0.563,14,0.563,11,comparable,comparable,2.2,-2.0,True,0.0
"Heidelberg borough (Allegheny, PA)",Downtown,residents,2,2872.0,40.392724,-80.087894,40.440773,-79.999105,55.7,39.7,84.7,1.0,0,10.9,63.3,40.6,86.7,1.0,0,17.3,55.7,39.7,84.7,1.0,0,10.9,63.3,40.6,86.7,1.0,0,17.3,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,7.6,7.6,False,0.6
"Heidelberg borough (Allegheny, PA)",Oakland,residents,2,2872.0,40.392724,-80.087894,40.443719,-79.958853,83.2,63.2,111.2,1.0,1,16.6,78.2,50.2,103.2,1.0,1,24.3,83.2,63.2,111.2,1.0,1,16.6,78.2,50.2,103.2,1.0,1,24.3,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-5.0,-5.0,False,1.0
Highland Park,Downtown,residents,7,6227.0,40.473811,-79.920429,40.440773,-79.999105,41.0,30.7,55.0,0.837,1,10.3,42.5,32.5,55.5,0.837,1,9.7,49.9,37.6,64.0,0.837,1,8.2,44.5,34.5,59.7,0.837,1,7.5,0.837,42,0.837,38,0.837,42,0.837,38,comparable,comparable,1.5,-5.4,True,3.0
Highland Park,Oakland,residents,7,6227.0,40.473811,-79.920429,40.443719,-79.958853,38.0,29.0,48.0,0.837,0,4.8,35.4,27.4,49.4,0.837,0,4.6,38.0,29.0,48.0,0.837,0,4.8,35.4,27.4,49.4,0.837,0,4.6,0.837,14,0.837,11,0.837,14,0.837,11,comparable,comparable,-2.6,-2.6,False,2.0
"Homestead borough (Allegheny, PA)",Downtown,residents,3,2884.0,40.404114,-79.907602,40.440773,-79.999105,44.1,26.1,76.1,1.0,0,9.1,50.5,33.9,88.9,1.0,0,8.8,44.1,26.1,76.1,1.0,0,9.5,50.5,33.9,88.9,1.0,0,8.8,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,6.4,6.4,False,1.4
"Homestead borough (Allegheny, PA)",Oakland,residents,3,2884.0,40.404114,-79.907602,40.443719,-79.958853,52.0,36.0,91.0,1.0,1,8.8,51.4,32.4,108.2,1.0,1,11.7,52.0,36.0,91.0,1.0,1,9.8,51.4,32.4,108.2,1.0,1,14.9,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-0.6,-0.6,False,15.8
Homewood North,Downtown,residents,3,1831.0,40.460076,-79.894362,40.440773,-79.999105,44.0,27.0,67.0,1.0,1,11.4,46.5,29.5,73.5,1.0,1,14.5,44.7,27.0,67.0,1.0,1,12.9,46.5,29.5,74.5,1.0,1,15.0,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,2.5,1.8,False,1.9
Homewood North,Oakland,residents,3,1831.0,40.460076,-79.894362,40.443719,-79.958853,48.0,34.0,77.0,1.0,1,11.4,47.4,30.4,68.4,1.0,1,13.8,49.0,34.0,77.0,1.0,1,12.1,47.7,30.4,73.7,1.0,1,15.8,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-0.6,-1.3,False,3.0
Homewood South,Downtown,residents,3,2260.0,40.453636,-79.893236,40.440773,-79.999105,32.7,20.7,50.0,1.0,1,6.1,36.5,23.4,56.5,1.0,1,7.1,37.0,20.7,54.0,1.0,1,8.1,39.5,23.4,57.5,1.0,1,8.2,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,3.8,2.5,False,3.3
Homewood South,Oakland,residents,3,2260.0,40.453636,-79.893236,40.443719,-79.958853,35.0,25.0,47.0,1.0,0,4.7,34.4,24.4,49.4,1.0,0,6.5,35.0,25.0,47.0,1.0,0,4.7,34.4,24.4,49.4,1.0,0,6.5,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-0.6,-0.6,False,4.0
Homewood West,Downtown,residents,1,642.0,40.45967,-79.90295,40.440773,-79.999105,44.0,33.7,63.0,1.0,1,11.1,47.4,33.5,63.4,1.0,1,15.9,46.7,33.7,63.0,1.0,1,12.3,47.4,34.4,63.4,1.0,1,18.9,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,3.4,0.7,False,
Homewood West,Oakland,residents,1,642.0,40.45967,-79.90295,40.443719,-79.958853,45.0,34.0,61.0,1.0,1,9.3,44.4,29.4,62.7,1.0,1,14.6,48.0,34.0,66.0,1.0,1,10.8,45.7,29.4,62.7,1.0,1,18.6,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-0.6,-2.3,False,
"Ingram borough (Allegheny, PA)",Downtown,residents,3,3391.0,40.444828,-80.069062,40.440773,-79.999105,39.2,21.7,61.2,1.0,0,8.8,36.7,20.6,70.7,1.0,0,10.0,39.2,21.7,61.3,1.0,0,8.8,36.7,20.6,70.7,1.0,0,10.0,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-2.5,-2.5,False,16.4
"Ingram borough (Allegheny, PA)",Oakland,residents,3,3391.0,40.444828,-80.069062,40.443719,-79.958853,57.2,36.2,79.2,1.0,1,17.3,57.2,30.2,92.2,1.0,1,17.0,57.2,36.2,79.2,1.0,1,17.2,57.2,30.2,92.2,1.0,1,16.8,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,0.0,0.0,False,11.0
"Jefferson Hills borough (Allegheny, PA)",Downtown,residents,3,5136.0,40.298342,-79.92445,40.440773,-79.999105,103.4,79.4,126.4,0.412,1,32.2,105.4,74.4,125.4,0.412,1,23.9,103.4,79.4,126.4,0.412,1,32.6,105.4,74.4,125.4,0.412,1,23.9,0.412,42,0.412,38,0.412,42,0.412,38,comparable,comparable,2.0,2.0,False,
"Jefferson Hills borough (Allegheny, PA)",Oakland,residents,3,5136.0,40.298342,-79.92445,40.443719,-79.958853,114.0,96.2,148.2,0.412,2,25.7,118.2,96.2,140.0,0.412,2,29.5,114.0,96.2,148.2,0.412,2,28.4,120.2,96.2,145.2,0.412,2,28.3,0.412,14,0.412,11,0.412,14,0.412,11,comparable,comparable,4.2,6.2,False,
"Kennedy township (Allegheny, PA)",Downtown,residents,7,10434.0,40.482003,-80.109789,40.440773,-79.999105,59.2,33.2,99.2,0.722,0,15.3,54.3,39.3,79.3,0.364,0,13.3,59.3,33.3,99.3,0.722,0,15.5,54.3,39.3,79.3,0.364,0,13.3,0.722,42,0.364,38,0.722,42,0.364,38,comparable,comparable,-4.9,-5.0,False,4.0
"Kennedy township (Allegheny, PA)",Oakland,residents,7,10434.0,40.482003,-80.109789,40.443719,-79.958853,82.2,56.2,125.2,0.722,1,21.7,74.2,52.2,101.2,0.364,1,19.8,84.2,56.2,131.2,0.722,1,24.8,75.2,52.2,101.2,0.364,1,20.8,0.722,14,0.364,11,0.722,14,0.364,11,comparable,comparable,-8.0,-9.0,False,5.0
Knoxville,Downtown,residents,6,4539.0,40.412441,-79.991882,40.440773,-79.999105,32.4,24.9,55.4,1.0,0,3.3,33.4,22.4,48.4,1.0,0,7.3,32.4,24.9,55.4,1.0,0,3.3,33.4,22.4,48.4,1.0,0,7.3,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,1.0,1.0,False,3.0
Knoxville,Oakland,residents,6,4539.0,40.412441,-79.991882,40.443719,-79.958853,40.2,27.2,54.2,1.0,0,8.2,42.2,28.2,57.2,1.0,0,10.2,40.2,27.2,54.2,1.0,0,8.6,44.2,28.2,58.2,1.0,0,9.6,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,2.0,4.0,False,6.0
Larimer,Downtown,residents,2,1545.0,40.463127,-79.911804,40.440773,-79.999105,34.7,26.0,56.0,1.0,1,7.2,37.7,31.5,50.5,1.0,1,9.7,39.0,26.0,66.4,1.0,1,9.3,42.7,31.5,53.7,1.0,1,9.7,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,3.0,3.7,False,0.7
Larimer,Oakland,residents,2,1545.0,40.463127,-79.911804,40.443719,-79.958853,38.0,29.0,56.0,1.0,0,6.2,33.4,24.4,50.7,1.0,1,6.7,39.0,29.0,56.0,1.0,0,7.7,36.4,24.4,51.4,1.0,0,11.0,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-4.6,-2.6,False,0.0
"Leetsdale borough (Allegheny, PA)",Downtown,residents,3,3647.0,40.56952,-80.214569,40.440773,-79.999105,82.3,58.3,106.3,0.319,1,27.8,100.9,72.5,131.5,0.319,0,25.7,82.3,58.3,106.3,0.319,1,27.8,100.9,72.5,131.5,0.319,0,25.7,0.319,42,0.319,38,0.319,42,0.319,38,comparable,comparable,18.6,18.6,False,
"Leetsdale borough (Allegheny, PA)",Oakland,residents,3,3647.0,40.56952,-80.214569,40.443719,-79.958853,108.2,83.2,130.2,0.319,2,33.9,120.2,91.2,150.2,0.319,1,33.0,108.2,83.2,130.2,0.319,2,33.6,120.2,91.2,150.2,0.319,2,33.5,0.319,14,0.319,11,0.319,14,0.319,11,comparable,comparable,12.0,12.0,False,
Lincoln Place,Downtown,residents,4,4215.0,40.371314,-79.9103,40.440773,-79.999105,57.1,36.1,109.4,0.749,0,15.8,55.9,34.9,98.9,0.749,0,16.6,57.1,36.1,109.4,0.749,0,15.8,55.9,34.9,98.9,0.749,0,16.6,0.749,42,0.749,38,0.749,42,0.749,38,comparable,comparable,-1.2,-1.2,False,12.0
Lincoln Place,Oakland,residents,4,4215.0,40.371314,-79.9103,40.443719,-79.958853,65.2,41.2,125.2,0.749,1,19.7,76.2,54.2,118.2,0.749,1,21.3,71.2,41.2,125.2,0.749,1,24.9,76.2,54.2,118.2,0.749,1,24.0,0.749,14,0.749,11,0.749,14,0.749,11,comparable,comparable,11.0,5.0,False,4.0
Lincoln-Lemington-Belmar,Downtown,residents,5,3636.0,40.469512,-79.897292,40.440773,-79.999105,44.0,30.0,81.0,1.0,1,9.5,45.5,35.5,70.0,0.914,1,10.9,49.0,30.0,88.0,1.0,1,11.5,51.5,36.5,78.7,0.914,1,12.0,1.0,42,0.914,38,1.0,42,0.914,38,comparable,comparable,1.5,2.5,False,10.9
Lincoln-Lemington-Belmar,Oakland,residents,5,3636.0,40.469512,-79.897292,40.443719,-79.958853,49.0,37.0,80.0,1.0,1,9.0,43.4,30.4,71.4,0.914,1,9.4,50.0,37.0,80.0,1.0,1,10.8,46.4,30.4,74.4,0.914,1,14.7,1.0,14,0.914,11,1.0,14,0.914,11,comparable,comparable,-5.6,-3.6,False,7.0
Lower Lawrenceville,Downtown,residents,2,2641.0,40.464684,-79.96326,40.440773,-79.999105,26.9,20.5,35.9,1.0,0,4.4,22.5,15.7,34.7,1.0,0,4.3,26.9,20.5,35.9,1.0,0,4.3,22.5,15.7,34.7,1.0,0,4.3,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-4.4,-4.4,False,1.2
Lower Lawrenceville,Oakland,residents,2,2641.0,40.464684,-79.96326,40.443719,-79.958853,35.0,22.0,50.0,1.0,0,6.6,33.7,21.4,53.4,1.0,1,9.0,36.0,22.0,50.0,1.0,0,7.3,34.7,21.4,53.4,1.0,1,9.4,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-1.3,-1.3,False,7.3
Manchester,Downtown,residents,3,2050.0,40.454818,-80.024618,40.440773,-79.999105,33.0,23.9,54.9,1.0,0,7.7,33.9,19.9,51.9,1.0,0,13.7,33.0,23.9,54.9,1.0,0,7.7,33.9,19.9,51.9,1.0,0,13.7,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,0.9,0.9,False,5.0
Manchester,Oakland,residents,3,2050.0,40.454818,-80.024618,40.443719,-79.958853,60.2,49.2,84.2,1.0,1,12.4,56.2,39.2,74.2,1.0,1,20.9,63.0,49.2,84.2,1.0,2,19.9,56.2,39.2,74.2,1.0,1,23.8,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-4.0,-6.8,False,4.0
Marshall-Shadeland,Downtown,residents,4,4046.0,40.470771,-80.029962,40.440773,-79.999105,36.9,25.9,53.9,1.0,0,5.7,36.9,24.5,51.6,1.0,0,6.2,36.9,25.9,53.9,1.0,0,5.4,36.9,24.5,58.9,1.0,0,6.2,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,0.0,0.0,False,0.9
Marshall-Shadeland,Oakland,residents,4,4046.0,40.470771,-80.029962,40.443719,-79.958853,62.2,46.2,83.2,1.0,1,10.0,58.2,43.2,74.2,1.0,1,13.9,66.2,53.2,90.1,1.0,2,16.2,59.2,43.2,79.2,1.0,1,14.8,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-4.0,-7.0,False,2.0
"McCandless township (Allegheny, PA)",Downtown,residents,14,21628.0,40.577865,-80.02049,40.440773,-79.999105,83.6,43.6,121.9,0.062,0,32.2,,,,0.0,,,83.6,43.6,121.9,0.062,0,32.2,,,,0.0,,,0.127,42,0.0,38,0.127,42,0.0,38,no_origin_coverage,no_origin_coverage,,,,
"McCandless township (Allegheny, PA)",Oakland,residents,14,21628.0,40.577865,-80.02049,40.443719,-79.958853,107.2,70.2,145.2,0.062,1,38.0,,,,0.0,,,107.2,70.2,145.2,0.062,1,37.7,,,,0.0,,,0.127,14,0.0,11,0.127,14,0.0,11,no_origin_coverage,no_origin_coverage,,,,
"McKees Rocks borough (Allegheny, PA)",Downtown,residents,6,5920.0,40.468959,-80.065597,40.440773,-79.999105,41.2,23.2,83.2,1.0,0,11.8,43.7,20.7,88.3,1.0,0,16.8,41.3,23.3,83.3,1.0,0,11.8,43.7,20.7,88.3,1.0,0,17.1,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,2.5,2.4,False,7.0
"McKees Rocks borough (Allegheny, PA)",Oakland,residents,6,5920.0,40.468959,-80.065597,40.443719,-79.958853,65.2,41.2,108.2,1.0,1,18.7,62.2,38.2,108.2,1.0,1,21.1,66.2,41.2,112.2,1.0,1,20.4,62.2,38.2,108.2,1.0,1,22.0,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-3.0,-4.0,False,10.0
"McKeesport city (Allegheny, PA)",Downtown,residents,30,27249.0,40.341294,-79.845756,40.440773,-79.999105,88.1,48.1,148.1,0.392,1,26.0,91.9,49.9,178.9,0.522,1,22.4,88.1,48.1,148.1,0.392,1,27.2,91.9,49.9,178.9,0.522,1,22.8,0.419,42,0.522,38,0.419,42,0.522,38,comparable,comparable,3.8,3.8,False,56.0
"McKeesport city (Allegheny, PA)",Oakland,residents,30,27249.0,40.341294,-79.845756,40.443719,-79.958853,93.2,54.2,147.0,0.392,1,25.0,98.4,66.4,192.2,0.522,1,21.5,96.0,54.2,147.0,0.392,1,27.5,98.4,66.4,192.2,0.522,1,21.7,0.419,14,0.522,11,0.419,14,0.522,11,comparable,comparable,5.2,2.4,False,78.3
Middle Hill,Downtown,residents,3,3143.0,40.448769,-79.974297,40.440773,-79.999105,27.4,16.4,58.4,1.0,0,5.7,25.4,13.4,45.5,1.0,0,6.4,27.4,16.4,58.4,1.0,0,5.7,25.4,13.4,45.5,1.0,0,6.4,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-2.0,-2.0,False,5.0
Middle Hill,Oakland,residents,3,3143.0,40.448769,-79.974297,40.443719,-79.958853,30.6,20.1,53.5,1.0,0,5.6,26.6,17.7,36.7,1.0,0,4.1,34.0,20.1,53.5,1.0,0,8.0,28.7,17.7,40.7,1.0,0,6.1,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-4.0,-5.3,False,5.1
"Millvale borough (Allegheny, PA)",Downtown,residents,2,2085.0,40.484788,-79.97306,40.440773,-79.999105,57.9,26.9,88.9,1.0,0,27.2,35.3,21.3,50.7,1.0,0,7.3,57.9,26.9,88.9,1.0,0,27.2,36.3,21.3,50.7,1.0,0,8.3,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-22.6,-21.6,False,1.0
"Millvale borough (Allegheny, PA)",Oakland,residents,2,2085.0,40.484788,-79.97306,40.443719,-79.958853,79.2,51.2,113.2,1.0,1,32.1,43.4,24.7,66.2,1.0,1,10.4,79.2,51.2,113.2,1.0,1,33.8,43.4,24.7,66.2,1.0,1,12.9,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-35.8,-35.8,False,3.8
"Monroeville municipality (Allegheny, PA)",Downtown,residents,23,31116.0,40.432576,-79.755571,40.440773,-79.999105,94.0,45.7,134.0,0.229,1,24.7,83.5,53.4,133.0,0.161,1,21.0,94.0,45.7,136.0,0.229,1,26.1,83.5,53.4,133.0,0.161,1,20.8,0.26,42,0.161,38,0.26,42,0.161,38,comparable,comparable,-10.5,-10.5,False,11.2
"Monroeville municipality (Allegheny, PA)",Oakland,residents,23,31116.0,40.432576,-79.755571,40.443719,-79.958853,95.0,58.0,131.0,0.229,1,19.8,89.4,60.4,134.4,0.161,1,29.8,96.0,58.0,133.0,0.229,1,21.5,89.4,60.4,134.4,0.161,1,29.3,0.26,14,0.161,11,0.26,14,0.161,11,comparable,comparable,-5.6,-6.6,False,9.0
"Moon township (Allegheny, PA)",Downtown,residents,8,12712.0,40.499396,-80.186251,40.440773,-79.999105,106.4,79.1,129.4,0.081,1,31.8,101.9,83.9,125.4,0.081,1,25.9,106.4,79.1,129.4,0.081,1,32.8,101.9,83.9,125.4,0.081,1,25.9,0.081,42,0.081,38,0.081,42,0.081,38,comparable,comparable,-4.5,-4.5,False,
"Moon township (Allegheny, PA)",Oakland,residents,8,12712.0,40.499396,-80.186251,40.443719,-79.958853,115.0,85.0,151.2,0.081,1,37.3,113.4,87.4,134.2,0.081,1,21.1,115.0,85.0,151.2,0.081,1,39.0,113.4,87.4,134.2,0.081,1,22.0,0.081,14,0.081,11,0.081,14,0.081,11,comparable,comparable,-1.6,-1.6,False,
Morningside,Downtown,residents,5,4036.0,40.480776,-79.929257,40.440773,-79.999105,52.9,37.7,88.9,1.0,0,8.8,49.5,34.5,70.7,1.0,1,13.4,52.9,37.9,88.9,1.0,0,9.5,49.5,34.7,70.7,1.0,1,13.4,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-3.4,-3.4,False,11.8
