current_routes,proposed_routes,n_current_routes,n_proposed_routes,status,cur_weekday_trips,prop_weekday_trips,cur_weekday_hours,prop_weekday_hours,pct_weekday_trips,pct_weekday_hours,cur_saturday_trips,prop_saturday_trips,cur_saturday_hours,prop_saturday_hours,pct_saturday_trips,pct_saturday_hours,cur_sunday_trips,prop_sunday_trips,cur_sunday_hours,prop_sunday_hours,pct_sunday_trips,pct_sunday_hours,riders_weekday
81,81,1,1,one-to-one,60.0,54.0,39.7,31.5,-10.0,-20.5,48.0,34.0,27.3,18.9,-29.2,-30.8,44.0,28.0,25.4,15.4,-36.4,-39.3,1217.0
69,69;69S,1,2,split,48.0,40.0,76.0,39.9,-16.7,-47.5,20.0,30.0,13.9,19.5,50.0,40.1,20.0,28.0,13.9,18.9,40.0,35.5,1187.5
56,56,1,1,one-to-one,54.0,54.0,49.5,50.2,0.0,1.4,34.0,34.0,28.2,30.0,0.0,6.6,32.0,28.0,26.6,24.1,-12.5,-9.5,1147.7
88,88,1,1,one-to-one,70.0,70.0,42.5,47.3,0.0,11.2,58.0,68.0,30.9,43.5,17.2,40.9,56.0,46.0,30.3,28.5,-17.9,-5.8,1141.0
12,12,1,1,one-to-one,49.0,40.0,56.6,45.0,-18.4,-20.6,53.0,68.0,65.5,77.3,28.3,18.1,33.0,46.0,39.3,52.3,39.4,33.1,1134.5
6,6,1,1,one-to-one,63.0,66.0,30.3,44.3,4.8,46.3,73.0,48.0,33.5,29.8,-34.2,-11.0,50.0,32.0,23.2,19.0,-36.0,-18.0,1114.2
31,31,1,1,one-to-one,56.0,54.0,45.5,48.5,-3.6,6.7,28.0,34.0,21.5,29.5,21.4,36.9,28.0,28.0,21.5,25.1,0.0,16.5,1016.0
21,21,1,1,one-to-one,60.0,54.0,48.6,59.3,-10.0,22.0,38.0,34.0,29.1,36.1,-10.5,24.0,38.0,28.0,29.1,29.1,-26.3,0.1,978.5
17,,1,0,discontinued,66.0,0,48.5,0,-100.0,-100.0,36.0,0,26.1,0,-100.0,-100.0,44.0,0,31.9,0,-100.0,-100.0,948.7
55,55;55S,1,2,split,35.0,56.0,52.4,59.8,60.0,14.2,30.0,34.0,42.7,31.6,13.3,-26.0,30.0,30.0,41.3,26.9,0.0,-34.9,930.3
Y46,46L,1,1,one-to-one,50.0,14.0,52.0,17.7,-72.0,-66.0,32.0,0,32.3,0.0,-100.0,-100.0,28.0,0,27.0,0.0,-100.0,-100.0,882.8
57,57,1,1,one-to-one,46.0,68.0,29.5,55.1,47.8,86.9,48.0,52.0,28.9,39.0,8.3,35.0,46.0,36.0,27.7,26.6,-21.7,-4.0,846.7
P78,78;78S,1,2,split,44.0,68.0,43.4,70.1,54.5,61.7,0,48.0,0.0,28.7,,,0,32.0,0.0,19.1,,,834.6
29,29;29S,1,2,split,43.0,70.0,43.2,70.1,62.8,62.1,30.0,68.0,27.2,60.8,126.7,123.7,16.0,46.0,14.0,39.7,187.5,184.8,824.5
74,74,1,1,one-to-one,50.0,54.0,44.4,27.4,8.0,-38.3,38.0,34.0,30.4,16.6,-10.5,-45.5,20.0,28.0,16.3,13.6,40.0,-16.3,796.5
53L,,1,0,discontinued,38.0,0,42.6,0,-100.0,-100.0,0,0,0.0,0,,,0,0,0.0,0,,,784.5
27,27,1,1,one-to-one,60.0,54.0,32.3,37.7,-10.0,16.5,34.0,34.0,17.4,23.4,0.0,34.8,32.0,28.0,16.4,18.9,-12.5,15.4,779.1
15,,1,0,discontinued,61.0,0,34.8,0,-100.0,-100.0,62.0,0,34.1,0,-100.0,-100.0,37.0,0,20.5,0,-100.0,-100.0,774.0
39,39,1,1,one-to-one,76.0,54.0,40.4,28.0,-28.9,-30.8,28.0,34.0,14.3,17.2,21.4,20.1,15.0,28.0,7.9,14.1,86.7,77.7,765.5
Y49,49,1,1,one-to-one,36.0,50.0,29.7,45.9,38.9,54.9,30.0,30.0,23.0,28.9,0.0,25.5,26.0,28.0,20.4,25.6,7.7,25.4,688.7
26,26,1,1,one-to-one,62.0,54.0,31.5,31.2,-12.9,-1.0,36.0,34.0,17.3,19.4,-5.6,11.9,28.0,28.0,13.5,15.6,0.0,14.9,672.5
41,35;35S,1,2,split,44.0,54.0,38.0,49.4,22.7,30.1,36.0,30.0,28.9,27.7,-16.7,-4.0,24.0,28.0,18.3,26.2,16.7,43.1,649.6
22,22,1,1,one-to-one,52.0,54.0,26.6,28.9,3.8,8.6,38.0,34.0,18.3,17.3,-10.5,-5.5,16.0,28.0,7.7,13.7,75.0,77.6,649.5
38,38,1,1,one-to-one,60.0,50.0,35.0,36.0,-16.7,2.8,28.0,30.0,15.0,20.7,7.1,38.2,24.0,28.0,11.8,18.1,16.7,53.0,613.5
79,79,1,1,one-to-one,49.0,66.0,26.6,41.1,34.7,54.5,52.0,48.0,26.9,29.7,-7.7,10.0,29.0,32.0,15.0,20.2,10.3,34.6,573.9
44,44,1,1,one-to-one,42.0,66.0,35.7,33.5,57.1,-6.3,45.0,34.0,23.3,16.9,-24.4,-27.6,26.0,32.0,13.2,15.7,23.1,18.8,566.5
Y47,,1,0,discontinued,34.0,0,25.5,0,-100.0,-100.0,36.0,0,27.0,0,-100.0,-100.0,0,0,0.0,0,,,549.5
14,14,1,1,one-to-one,48.0,38.0,37.3,47.4,-20.8,27.1,34.0,36.0,25.1,43.5,5.9,73.4,30.0,32.0,21.7,37.5,6.7,72.9,540.6
60,65,1,1,one-to-one,16.0,22.0,10.8,9.6,37.5,-11.2,11.0,19.0,6.7,8.1,72.7,19.9,11.0,17.0,6.4,7.1,54.5,10.9,480.9
2,,1,0,discontinued,36.0,0,41.8,0,-100.0,-100.0,16.0,0,19.9,0,-100.0,-100.0,14.0,0,17.8,0,-100.0,-100.0,448.1
58,58,1,1,one-to-one,40.0,66.0,32.5,75.0,65.0,131.0,24.0,48.0,15.9,50.2,100.0,214.7,18.0,32.0,12.2,32.3,77.8,165.2,413.5
P17,,1,0,discontinued,28.0,0,21.7,0,-100.0,-100.0,0,0,0.0,0,,,0,0,0.0,0,,,404.1
11,11,1,1,one-to-one,25.0,54.0,18.5,20.2,116.0,9.0,16.0,34.0,12.1,11.5,112.5,-4.4,9.0,28.0,6.9,10.0,211.1,44.5,394.7
40,40,1,1,one-to-one,55.0,54.0,27.1,31.7,-1.8,16.8,28.0,34.0,12.9,19.4,21.4,50.5,26.0,28.0,11.6,15.7,7.7,35.6,365.3
P16,77L,1,1,one-to-one,22.0,14.0,21.2,11.2,-36.4,-47.0,0,0,0.0,0.0,,,0,0,0.0,0.0,,,349.6
43,,1,0,discontinued,36.0,0,15.0,0,-100.0,-100.0,36.0,0,14.4,0,-100.0,-100.0,32.0,0,12.5,0,-100.0,-100.0,332.8
20,,1,0,discontinued,36.0,0,26.2,0,-100.0,-100.0,26.0,0,18.3,0,-100.0,-100.0,18.0,0,12.7,0,-100.0,-100.0,332.8
4,4,1,1,one-to-one,44.0,50.0,23.5,16.7,13.6,-28.7,22.0,32.0,10.3,10.3,45.5,-0.3,14.0,28.0,6.3,9.1,100.0,43.5,331.3
O12,12L,1,1,one-to-one,19.0,14.0,12.1,10.8,-26.3,-10.4,0,0,0.0,0.0,,,0,0,0.0,0.0,,,331.2
P7,,1,0,discontinued,23.0,0,20.3,0,-100.0,-100.0,0,0,0.0,0,,,0,0,0.0,0,,,321.5
36,36L,1,1,one-to-one,40.0,14.0,24.1,5.7,-65.0,-76.4,18.0,0,10.7,0.0,-100.0,-100.0,14.0,0,8.4,0.0,-100.0,-100.0,305.7
O1,10L,1,1,one-to-one,20.0,14.0,7.8,7.2,-30.0,-6.9,0,0,0.0,0.0,,,0,0,0.0,0.0,,,285.1
52L,52L,1,1,one-to-one,15.0,14.0,13.2,13.0,-6.7,-1.1,0,0,0.0,0.0,,,0,0,0.0,0.0,,,283.1
P76,76L,1,1,one-to-one,15.0,10.0,14.9,8.2,-33.3,-44.6,0,0,0.0,0.0,,,0,0,0.0,0.0,,,270.1
P12,73L,1,1,one-to-one,18.0,14.0,16.1,14.4,-22.2,-10.6,0,0,0.0,0.0,,,0,0,0.0,0.0,,,264.5
51L,,1,0,discontinued,14.0,0,8.8,0,-100.0,-100.0,0,0,0.0,0,,,0,0,0.0,0,,,249.6
19L,19L,1,1,one-to-one,13.0,14.0,8.5,9.3,7.7,9.4,0,0,0.0,0.0,,,0,0,0.0,0.0,,,248.2
G3,23L,1,1,one-to-one,14.0,14.0,10.4,13.1,0.0,26.5,0,0,0.0,0.0,,,0,0,0.0,0.0,,,199.2
P10,1L,1,1,one-to-one,10.0,14.0,13.5,19.7,40.0,45.6,0,0,0.0,0.0,,,0,0,0.0,0.0,,,190.8
G31,,1,0,discontinued,10.0,0,7.2,0,-100.0,-100.0,0,0,0.0,0,,,0,0,0.0,0,,,188.5
P69,,1,0,discontinued,8.0,0,7.8,0,-100.0,-100.0,0,0,0.0,0,,,0,0,0.0,0,,,182.0
89,,1,0,discontinued,32.0,0,11.8,0,-100.0,-100.0,34.0,0,11.9,0,-100.0,-100.0,28.0,0,10.0,0,-100.0,-100.0,177.2
P71,,1,0,discontinued,14.0,0,9.7,0,-100.0,-100.0,0,0,0.0,0,,,0,0,0.0,0,,,150.9
65,,1,0,discontinued,15.0,0,9.5,0,-100.0,-100.0,0,0,0.0,0,,,0,0,0.0,0,,,122.2
P67,,1,0,discontinued,8.0,0,6.1,0,-100.0,-100.0,0,0,0.0,0,,,0,0,0.0,0,,,108.6
53,53;53S,1,2,split,0,34.0,0.0,44.8,,,28.0,30.0,15.6,26.7,7.1,70.4,16.0,28.0,9.2,25.0,75.0,172.2,93.0
Y1,,1,0,discontinued,6.0,0,5.2,0,-100.0,-100.0,0,0,0.0,0,,,0,0,0.0,0,,,82.5
71,,1,0,discontinued,12.0,0,6.5,0,-100.0,-100.0,0,0,0.0,0,,,0,0,0.0,0,,,67.8
7,7,1,1,one-to-one,12.0,34.0,5.1,11.1,183.3,119.3,0,0,0.0,0.0,,,0,0,0.0,0.0,,,62.8
P13,2L,1,1,one-to-one,6.0,10.0,4.1,7.0,66.7,69.4,0,0,0.0,0.0,,,0,0,0.0,0.0,,,52.0
Y45,,1,0,discontinued,6.0,0,5.3,0,-100.0,-100.0,0,0,0.0,0,,,0,0,0.0,0,,,48.5
18,,1,0,discontinued,23.0,0,5.2,0,-100.0,-100.0,0,0,0.0,0,,,0,0,0.0,0,,,33.5
O5,,1,0,discontinued,6.0,0,5.0,0,-100.0,-100.0,0,0,0.0,0,,,0,0,0.0,0,,,23.7
,70,0,1,new,0,98.0,0,71.6,,,0,72.0,0,47.3,,,0,60.0,0,38.3,,,0
